Aranceles pre Corea,Aranceles pre UE,Aranceles post Corea,Aranceles post UE
40.0,13,15.0,5
40.0,13,15.0,5
22.5,60,7.5,0
22.5,13,10.0,0
27.0,5,10.0,0
18.0,13,15.0,0
20.0,26,10.0,0
18.0,7,5.0,0
3.0,22,0.0,0
25.0,70,5.0,0
20.0,12,5.0,5
10.0,12,5.0,5
20.0,18,5.0,5
20.0,17,5.0,5
20.0,5,5.0,0
304.0,12,5.0,5
45.0,10,7.0,5
27.0,15,0.0,0
27.0,11,0.0,3
45.0,14,10.0,0
27.0,13,5.0,0
27.0,11,5.0,0
30.0,16,5.0,0
30.0,7,7.0,5
30.0,16,10.0,5
50.0,14,10.0,7
45.0,9,5.0,5
45.0,15,12.0,0
45.0,11,15.0,5
45.0,15,7.0,5
45.0,17,12.0,5
3.0,350,0.0,0
109.0,300,3.0,5
505.0,250,15.0,0
328.0,150,5.0,0
36.0,60,15.0,0
176.0,0,20.0,0
36.0,30,10.0,5
50.0,35,0.0,0
89.0,45,15.0,0
36.0,80,10.0,0
27.0,60,10.0,5
8.0,45,0.0,0
27.0,35,5.0,0
3.0,20,0.0,0
10.0,13,0.0,0
8.0,15,5.0,0
9.0,6,0.0,0
30.0,0,7.0,0
15.0,10,0.0,0
15.0,0,10.0,0
15.0,15,0.0,0
20.0,9,15.0,5
5.0,9,0.0,5
5.0,10,0.0,0
5.0,8,0.0,0
8.0,10,5.0,0
