País,Tarics,Descripción,Año,Exportaciones,Importaciones
Canadá,0201,Productos cárnicos,2006,nan,5947.37
Canadá,0202,Productos cárnicos,2006,34.98,514.35
Canadá,0203,Productos cárnicos,2006,14345.47,77131.81
Canadá,0204,Productos cárnicos,2006,nan,nan
Canadá,0205,Productos cárnicos,2006,nan,13584.16
Canadá,0206,Productos cárnicos,2006,389.26,958.96
Canadá,0207,Productos cárnicos,2006,242.37,2058.89
Canadá,0208,Productos cárnicos,2006,nan,75.00
Canadá,0209,Productos cárnicos,2006,42.21,486.43
Canadá,0210,Productos cárnicos,2006,5316.86,nan
Canadá,0302,Pescados y mariscos,2006,2932.23,14371.00
Canadá,0303,Pescados y mariscos,2006,4070.00,27040.17
Canadá,0304,Pescados y mariscos,2006,1936.84,16830.51
Canadá,0305,Pescados y mariscos,2006,925.38,18447.62
Canadá,0701,Verduras y hortalizas,2006,3.50,40.86
Canadá,0702,Verduras y hortalizas,2006,4788.17,nan
Canadá,0703,Verduras y hortalizas,2006,1943.02,44.21
Canadá,0704,Verduras y hortalizas,2006,11.21,nan
Canadá,0705,Verduras y hortalizas,2006,939.67,nan
Canadá,0706,Verduras y hortalizas,2006,24.32,18.06
Canadá,0707,Verduras y hortalizas,2006,2549.78,nan
Canadá,0708,Verduras y hortalizas,2006,78.62,45.92
Canadá,0803,Frutas y frutos secos,2006,4.27,nan
Canadá,0804,Frutas y frutos secos,2006,1542.96,2.60
Canadá,0805,Frutas y frutos secos,2006,9095.64,nan
Canadá,0806,Frutas y frutos secos,2006,3292.81,91.88
Canadá,0807,Frutas y frutos secos,2006,33.53,3.58
Canadá,0808,Frutas y frutos secos,2006,1415.88,19.14
Canadá,0809,Frutas y frutos secos,2006,889.51,2980.56
Canadá,0810,Frutas y frutos secos,2006,6205.05,560.69
Canadá,1101,Cereales y harinas,2006,1080.88,511.43
Canadá,1102,Cereales y harinas,2006,64.83,nan
Canadá,1103,Cereales y harinas,2006,178.00,1.01
Canadá,1104,Cereales y harinas,2006,201.84,397.71
Canadá,0401,"Huevos, productos lácteos y miel",2006,1124.78,nan
Canadá,0402,"Huevos, productos lácteos y miel",2006,154.82,6421.89
Canadá,0403,"Huevos, productos lácteos y miel",2006,515.07,1.82
Canadá,0404,"Huevos, productos lácteos y miel",2006,1719.51,293.74
Canadá,0405,"Huevos, productos lácteos y miel",2006,1099.47,387.62
Canadá,0406,"Huevos, productos lácteos y miel",2006,98512.84,267.54
Canadá,0407,"Huevos, productos lácteos y miel",2006,39.86,6053.30
Canadá,0408,"Huevos, productos lácteos y miel",2006,3.87,477.61
Canadá,0409,"Huevos, productos lácteos y miel",2006,303.96,900.64
Canadá,1509,Aceites,2006,74970.56,0.99
Canadá,1511,Aceites,2006,1827.22,711.36
Canadá,1512,Aceites,2006,358.68,4.54
Canadá,2201,Bebidas,2006,40467.74,177.86
Canadá,2202,Bebidas,2006,30215.93,7162.54
Canadá,2203,Bebidas,2006,105008.42,922.93
Canadá,2204,Bebidas,2006,542254.98,1043.15
Canadá,2205,Bebidas,2006,8872.94,0.15
Canadá,2206,Bebidas,2006,1541.22,314.56
Canadá,2207,Bebidas,2006,66.92,0.07
Canadá,1803,Chocolates,2006,155.42,nan
Canadá,1804,Chocolates,2006,149.23,nan
Canadá,1805,Chocolates,2006,6528.14,14.32
Canadá,1905,Panaderia y pastelería,2006,70815.60,2816.26
Canadá,0201,Productos cárnicos,2007,0.94,5322.17
Canadá,0202,Productos cárnicos,2007,0.23,665.08
Canadá,0203,Productos cárnicos,2007,11101.65,nan
Canadá,0204,Productos cárnicos,2007,0.14,nan
Canadá,0205,Productos cárnicos,2007,nan,22886.87
