País,Tarics,Descripción,Año,Exportaciones,Importaciones
Corea del Sur,0201,Productos cárnicos,2006,0.25,nan
Corea del Sur,0202,Productos cárnicos,2006,38.01,nan
Corea del Sur,0203,Productos cárnicos,2006,309273.64,609.00
Corea del Sur,0204,Productos cárnicos,2006,nan,nan
Corea del Sur,0205,Productos cárnicos,2006,nan,nan
Corea del Sur,0206,Productos cárnicos,2006,16731.05,nan
Corea del Sur,0207,Productos cárnicos,2006,2918.10,30.96
Corea del Sur,0208,Productos cárnicos,2006,1.25,nan
Corea del Sur,0209,Productos cárnicos,2006,693.05,nan
Corea del Sur,0210,Productos cárnicos,2006,6646.89,nan
Corea del Sur,0302,Pescados y mariscos,2006,3192.44,nan
Corea del Sur,0303,Pescados y mariscos,2006,10937.28,26251.72
Corea del Sur,0304,Pescados y mariscos,2006,2821.80,662.54
Corea del Sur,0305,Pescados y mariscos,2006,979.31,270.77
Corea del Sur,0701,Verduras y hortalizas,2006,11.39,0.86
Corea del Sur,0702,Verduras y hortalizas,2006,4790.18,nan
Corea del Sur,0703,Verduras y hortalizas,2006,2008.61,1.13
Corea del Sur,0704,Verduras y hortalizas,2006,19.54,1.81
Corea del Sur,0705,Verduras y hortalizas,2006,987.39,nan
Corea del Sur,0706,Verduras y hortalizas,2006,34.00,0.84
Corea del Sur,0707,Verduras y hortalizas,2006,2549.78,nan
Corea del Sur,0708,Verduras y hortalizas,2006,78.62,0.00
Corea del Sur,0803,Frutas y frutos secos,2006,4.27,nan
Corea del Sur,0804,Frutas y frutos secos,2006,1550.42,nan
Corea del Sur,0805,Frutas y frutos secos,2006,9230.65,nan
Corea del Sur,0806,Frutas y frutos secos,2006,3298.86,nan
Corea del Sur,0807,Frutas y frutos secos,2006,63.67,nan
Corea del Sur,0808,Frutas y frutos secos,2006,1418.51,157.04
Corea del Sur,0809,Frutas y frutos secos,2006,889.51,nan
Corea del Sur,0810,Frutas y frutos secos,2006,6220.51,5.26
Corea del Sur,1101,Cereales y harinas,2006,1280.02,17.42
Corea del Sur,1102,Cereales y harinas,2006,989.28,15.66
Corea del Sur,1103,Cereales y harinas,2006,209.89,2.55
Corea del Sur,1104,Cereales y harinas,2006,316.70,0.87
Corea del Sur,0401,"Huevos, productos lácteos y miel",2006,1677.64,nan
Corea del Sur,0402,"Huevos, productos lácteos y miel",2006,2353.43,nan
Corea del Sur,0403,"Huevos, productos lácteos y miel",2006,1069.33,nan
Corea del Sur,0404,"Huevos, productos lácteos y miel",2006,30230.86,nan
Corea del Sur,0405,"Huevos, productos lácteos y miel",2006,2096.59,nan
Corea del Sur,0406,"Huevos, productos lácteos y miel",2006,115362.65,nan
Corea del Sur,0407,"Huevos, productos lácteos y miel",2006,74.81,nan
Corea del Sur,0408,"Huevos, productos lácteos y miel",2006,392.67,nan
Corea del Sur,0409,"Huevos, productos lácteos y miel",2006,328.22,13.09
Corea del Sur,1509,Aceites,2006,109200.59,nan
Corea del Sur,1511,Aceites,2006,3865.18,nan
Corea del Sur,1512,Aceites,2006,4971.86,nan
Corea del Sur,2201,Bebidas,2006,42606.33,51.54
Corea del Sur,2202,Bebidas,2006,33054.41,2492.23
Corea del Sur,2203,Bebidas,2006,111101.32,95.83
Corea del Sur,2204,Bebidas,2006,585295.35,44.27
Corea del Sur,2205,Bebidas,2006,9471.04,25.87
Corea del Sur,2206,Bebidas,2006,1731.03,265.40
Corea del Sur,2207,Bebidas,2006,240.19,nan
Corea del Sur,1803,Chocolates,2006,2424.84,2.97
Corea del Sur,1804,Chocolates,2006,2841.00,nan
Corea del Sur,1805,Chocolates,2006,11454.77,nan
Corea del Sur,1905,Panaderia y pastelería,2006,81225.38,1028.86
Corea del Sur,0201,Productos cárnicos,2007,0.94,nan
Corea del Sur,0202,Productos cárnicos,2007,0.68,nan
Corea del Sur,0203,Productos cárnicos,2007,286542.02,450.19
Corea del Sur,0204,Productos cárnicos,2007,19.66,nan
Corea del Sur,0205,Productos cárnicos,2007,nan,nan
Corea del Sur,0206,Productos cárnicos,2007,17180.56,nan
Corea del Sur,0207,Productos cárnicos,2007,3827.05,nan
Corea del Sur,0208,Productos cárnicos,2007,27.56,nan
Corea del Sur,0209,Productos cárnicos,2007,227.37,nan
Corea del Sur,0210,Productos cárnicos,2007,4372.01,nan
Corea del Sur,0302,Pescados y mariscos,2007,2856.27,2.60
Corea del Sur,0303,Pescados y mariscos,2007,9543.41,40288.55
Corea del Sur,0304,Pescados y mariscos,2007,3043.47,5526.44
Corea del Sur,0305,Pescados y mariscos,2007,967.84,75.17
Corea del Sur,0701,Verduras y hortalizas,2007,22.01,2.40
Corea del Sur,0702,Verduras y hortalizas,2007,3009.95,nan
Corea del Sur,0703,Verduras y hortalizas,2007,1905.77,nan
Corea del Sur,0704,Verduras y hortalizas,2007,105.91,nan
Corea del Sur,0705,Verduras y hortalizas,2007,990.58,nan
Corea del Sur,0706,Verduras y hortalizas,2007,70.13,nan
Corea del Sur,0707,Verduras y hortalizas,2007,554.84,nan
Corea del Sur,0708,Verduras y hortalizas,2007,103.78,nan
Corea del Sur,0803,Frutas y frutos secos,2007,3.14,nan
Corea del Sur,0804,Frutas y frutos secos,2007,1408.31,1.04
Corea del Sur,0805,Frutas y frutos secos,2007,14383.28,nan
Corea del Sur,0806,Frutas y frutos secos,2007,1251.42,0.59
Corea del Sur,0807,Frutas y frutos secos,2007,31.30,nan
Corea del Sur,0808,Frutas y frutos secos,2007,1598.95,102.10
Corea del Sur,0809,Frutas y frutos secos,2007,1267.01,nan
Corea del Sur,0810,Frutas y frutos secos,2007,6293.38,nan
Corea del Sur,1101,Cereales y harinas,2007,1758.54,13.82
Corea del Sur,1102,Cereales y harinas,2007,1011.75,7.76
Corea del Sur,1103,Cereales y harinas,2007,134.82,nan
Corea del Sur,1104,Cereales y harinas,2007,263.11,2.83
Corea del Sur,0401,"Huevos, productos lácteos y miel",2007,2914.89,nan
Corea del Sur,0402,"Huevos, productos lácteos y miel",2007,4155.32,0.17
Corea del Sur,0403,"Huevos, productos lácteos y miel",2007,1040.48,nan
Corea del Sur,0404,"Huevos, productos lácteos y miel",2007,50936.94,90.77
Corea del Sur,0405,"Huevos, productos lácteos y miel",2007,2608.39,nan
Corea del Sur,0406,"Huevos, productos lácteos y miel",2007,117961.72,nan
Corea del Sur,0407,"Huevos, productos lácteos y miel",2007,132.99,nan
Corea del Sur,0408,"Huevos, productos lácteos y miel",2007,348.58,nan
Corea del Sur,0409,"Huevos, productos lácteos y miel",2007,474.81,nan
Corea del Sur,1509,Aceites,2007,98504.70,2.60
Corea del Sur,1511,Aceites,2007,5045.28,nan
Corea del Sur,1512,Aceites,2007,7430.58,0.12
Corea del Sur,2201,Bebidas,2007,42965.76,38.57
Corea del Sur,2202,Bebidas,2007,44929.33,4236.07
Corea del Sur,2203,Bebidas,2007,138312.20,95.85
Corea del Sur,2204,Bebidas,2007,634630.58,41.34
Corea del Sur,2205,Bebidas,2007,6375.71,15.99
Corea del Sur,2206,Bebidas,2007,2640.55,217.98
Corea del Sur,2207,Bebidas,2007,703.19,0.20
Corea del Sur,1803,Chocolates,2007,3958.04,nan
Corea del Sur,1804,Chocolates,2007,3847.27,nan
Corea del Sur,1805,Chocolates,2007,11213.62,3.47
Corea del Sur,1905,Panaderia y pastelería,2007,77172.69,1103.85
Corea del Sur,0201,Productos cárnicos,2008,1.14,nan
Corea del Sur,0202,Productos cárnicos,2008,1.38,nan
Corea del Sur,0203,Productos cárnicos,2008,237622.71,8.75
