Descripción,Año,Exportaciones,Importaciones,Aranceles Corea - UE,Aranceles UE - Corea,Cambio Exportaciones (%),Cambio Importaciones (%)
Aceites,2011,121154.79,9.25,10.0,8.0,0,0
Aceites,2020,191840.75000000003,77.42999999999999,0.0,0.0,58,738
Bebidas,2011,1003033.55,17089.11,20.0,13.5,0,0
Bebidas,2020,1585370.69,38412.80999999999,3.0,0.0,58,125
Cereales y harinas,2011,3048.44,130.5,335.0,150.0,0,0
Cereales y harinas,2020,11582.829999999998,168.68,10.0,0.0,280,29
Chocolates,2011,49717.73,0.0,10.0,8.5,0,0
Chocolates,2020,47750.5,75.34,5.0,5.0,-4,0
Frutas y frutos secos,2011,28429.239999999998,227.32,50.0,18.0,0,0
Frutas y frutos secos,2020,85506.34,151.31,7.5,5.0,200,-34
"Huevos, productos lácteos y miel",2011,313870.91,12.950000000000001,30.0,8.0,0,0
"Huevos, productos lácteos y miel",2020,689225.1900000001,444.9,8.0,4.0,120,3335
Panaderia y pastelería,2011,122379.6,1456.79,35.0,15.0,0,0
Panaderia y pastelería,2020,231984.13,7762.02,8.0,5.0,90,432
Pescados y mariscos,2011,25142.77,46795.850000000006,17.0,9.0,0,0
Pescados y mariscos,2020,113301.31000000001,90066.85,7.0,3.0,351,93
Productos cárnicos,2011,520489.45999999996,1286.6899999999998,22.5,10.0,0,0
Productos cárnicos,2020,804585.64,680.59,8.5,4.0,55,-48
Verduras y hortalizas,2011,6695.32,12.309999999999999,27.0,15.0,0,0
Verduras y hortalizas,2020,17441.79,63.59,7.5,6.5,165,161
