País,Tarics,Descripción,Año,Exportaciones,Importaciones
Japón,0201,Productos cárnicos,2006,23.42,nan
Japón,0202,Productos cárnicos,2006,0.07,nan
Japón,0203,Productos cárnicos,2006,717675.83,145.87
Japón,0204,Productos cárnicos,2006,nan,nan
Japón,0205,Productos cárnicos,2006,847.07,nan
Japón,0206,Productos cárnicos,2006,14086.48,1.44
Japón,0207,Productos cárnicos,2006,27813.48,251.76
Japón,0208,Productos cárnicos,2006,461.28,nan
Japón,0209,Productos cárnicos,2006,2731.50,nan
Japón,0210,Productos cárnicos,2006,21972.08,0.00
Japón,0302,Pescados y mariscos,2006,172087.61,10.76
Japón,0303,Pescados y mariscos,2006,95800.69,2833.75
Japón,0304,Pescados y mariscos,2006,26217.16,1750.68
Japón,0305,Pescados y mariscos,2006,3357.98,17.36
Japón,0701,Verduras y hortalizas,2006,13.59,nan
Japón,0702,Verduras y hortalizas,2006,41.49,nan
Japón,0703,Verduras y hortalizas,2006,1271.24,nan
Japón,0704,Verduras y hortalizas,2006,460.27,1.20
Japón,0705,Verduras y hortalizas,2006,1275.22,0.22
Japón,0706,Verduras y hortalizas,2006,203.76,8.48
Japón,0707,Verduras y hortalizas,2006,0.44,0.10
Japón,0708,Verduras y hortalizas,2006,4.23,0.85
Japón,0803,Frutas y frutos secos,2006,10.12,nan
Japón,0804,Frutas y frutos secos,2006,208.36,1.06
Japón,0805,Frutas y frutos secos,2006,42.19,nan
Japón,0806,Frutas y frutos secos,2006,87.78,nan
Japón,0807,Frutas y frutos secos,2006,nan,10.97
Japón,0808,Frutas y frutos secos,2006,nan,50.95
Japón,0809,Frutas y frutos secos,2006,3.11,nan
Japón,0810,Frutas y frutos secos,2006,169.17,0.44
Japón,1101,Cereales y harinas,2006,623.78,255.37
Japón,1102,Cereales y harinas,2006,382.76,22.61
Japón,1103,Cereales y harinas,2006,1523.41,0.85
Japón,1104,Cereales y harinas,2006,107.92,32.80
Japón,0401,"Huevos, productos lácteos y miel",2006,40.65,nan
Japón,0402,"Huevos, productos lácteos y miel",2006,2239.13,6.62
Japón,0403,"Huevos, productos lácteos y miel",2006,934.11,44.99
Japón,0404,"Huevos, productos lácteos y miel",2006,26389.74,32.27
Japón,0405,"Huevos, productos lácteos y miel",2006,7603.36,0.92
Japón,0406,"Huevos, productos lácteos y miel",2006,172575.24,40.43
Japón,0407,"Huevos, productos lácteos y miel",2006,759.03,nan
Japón,0408,"Huevos, productos lácteos y miel",2006,1338.20,366.46
Japón,0409,"Huevos, productos lácteos y miel",2006,2388.59,nan
Japón,1509,Aceites,2006,118671.86,404.75
Japón,1511,Aceites,2006,4.89,nan
Japón,1512,Aceites,2006,1252.88,6.63
Japón,2201,Bebidas,2006,186888.28,233.18
Japón,2202,Bebidas,2006,19094.29,1355.82
Japón,2203,Bebidas,2006,11906.42,288.20
Japón,2204,Bebidas,2006,577165.84,936.87
Japón,2205,Bebidas,2006,2506.34,12.70
Japón,2206,Bebidas,2006,17089.04,3057.66
Japón,2207,Bebidas,2006,341.73,2.31
Japón,1803,Chocolates,2006,2782.13,9.68
Japón,1804,Chocolates,2006,32101.37,nan
Japón,1805,Chocolates,2006,14404.86,975.02
Japón,1905,Panaderia y pastelería,2006,34601.39,3418.82
Japón,0201,Productos cárnicos,2007,38.09,nan
Japón,0202,Productos cárnicos,2007,7.61,nan
Japón,0203,Productos cárnicos,2007,675086.75,200.94
Japón,0204,Productos cárnicos,2007,nan,nan
Japón,0205,Productos cárnicos,2007,838.68,nan
Japón,0206,Productos cárnicos,2007,10787.65,18.90
Japón,0207,Productos cárnicos,2007,29147.72,nan
Japón,0208,Productos cárnicos,2007,664.23,10.01
Japón,0209,Productos cárnicos,2007,312.71,nan
Japón,0210,Productos cárnicos,2007,21534.03,2.09
Japón,0302,Pescados y mariscos,2007,155974.58,68.75
Japón,0303,Pescados y mariscos,2007,133169.98,2767.05
Japón,0304,Pescados y mariscos,2007,14314.60,371.12
Japón,0305,Pescados y mariscos,2007,2492.80,11.68
Japón,0701,Verduras y hortalizas,2007,nan,0.31
