Descripción,Año,Exportaciones,Importaciones
Aceites,2018,242365.47,376.44000000000005
Aceites,2020,228242.17,233.28
Bebidas,2018,964654.65,15947.09
Bebidas,2020,939878.9499999998,19905.629999999997
Cereales y harinas,2018,4917.139999999999,901.82
Cereales y harinas,2020,6023.38,712.2800000000001
Chocolates,2018,38561.03,1805.14
Chocolates,2020,34314.68,848.29
Frutas y frutos secos,2018,3668.7400000000002,137.57
Frutas y frutos secos,2020,4555.08,131.78
"Huevos, productos lácteos y miel",2018,515509.0199999999,472.80999999999995
"Huevos, productos lácteos y miel",2020,585590.62,1594.24
Panaderia y pastelería,2018,103429.22,4232.34
Panaderia y pastelería,2020,133392.08,5992.45
Pescados y mariscos,2018,388946.85000000003,6798.900000000001
Pescados y mariscos,2020,288330.29,11187.99
Productos cárnicos,2018,1388510.62,9708.78
Productos cárnicos,2020,1300438.29,10814.78
Verduras y hortalizas,2018,13222.880000000001,176.01999999999998
Verduras y hortalizas,2020,12310.95,176.54999999999998
