País,Tarics,Descripción,Año,Exportaciones,Importaciones
Singapur,0201,Productos cárnicos,2006,0.95,nan
Singapur,0202,Productos cárnicos,2006,33.84,nan
Singapur,0203,Productos cárnicos,2006,17698.61,20.34
Singapur,0204,Productos cárnicos,2006,11.84,nan
Singapur,0205,Productos cárnicos,2006,nan,nan
Singapur,0206,Productos cárnicos,2006,5626.86,8.38
Singapur,0207,Productos cárnicos,2006,2183.08,nan
Singapur,0208,Productos cárnicos,2006,25.57,nan
Singapur,0209,Productos cárnicos,2006,133.83,nan
Singapur,0210,Productos cárnicos,2006,1603.03,nan
Singapur,0302,Pescados y mariscos,2006,117.27,8.67
Singapur,0303,Pescados y mariscos,2006,7289.79,22875.29
Singapur,0304,Pescados y mariscos,2006,8951.55,1259.25
Singapur,0305,Pescados y mariscos,2006,134.70,19.01
Singapur,0701,Verduras y hortalizas,2006,63.48,nan
Singapur,0702,Verduras y hortalizas,2006,328.16,nan
Singapur,0703,Verduras y hortalizas,2006,346.72,14.51
Singapur,0704,Verduras y hortalizas,2006,18.38,nan
Singapur,0705,Verduras y hortalizas,2006,110.04,nan
Singapur,0706,Verduras y hortalizas,2006,29.57,nan
Singapur,0707,Verduras y hortalizas,2006,4.88,nan
Singapur,0708,Verduras y hortalizas,2006,11.38,nan
Singapur,0803,Frutas y frutos secos,2006,1.39,nan
Singapur,0804,Frutas y frutos secos,2006,17.60,5.09
Singapur,0805,Frutas y frutos secos,2006,222.89,nan
Singapur,0806,Frutas y frutos secos,2006,44.68,nan
Singapur,0807,Frutas y frutos secos,2006,234.47,nan
Singapur,0808,Frutas y frutos secos,2006,1456.45,nan
Singapur,0809,Frutas y frutos secos,2006,51.31,nan
Singapur,0810,Frutas y frutos secos,2006,759.76,1.11
Singapur,1101,Cereales y harinas,2006,124.94,nan
Singapur,1102,Cereales y harinas,2006,17.87,0.10
Singapur,1103,Cereales y harinas,2006,607.16,nan
Singapur,1104,Cereales y harinas,2006,331.46,nan
Singapur,0401,"Huevos, productos lácteos y miel",2006,3086.47,nan
Singapur,0402,"Huevos, productos lácteos y miel",2006,16428.44,0.09
Singapur,0403,"Huevos, productos lácteos y miel",2006,1024.29,nan
Singapur,0404,"Huevos, productos lácteos y miel",2006,8971.28,1.38
Singapur,0405,"Huevos, productos lácteos y miel",2006,18102.28,nan
Singapur,0406,"Huevos, productos lácteos y miel",2006,7132.63,nan
Singapur,0407,"Huevos, productos lácteos y miel",2006,60.48,nan
Singapur,0408,"Huevos, productos lácteos y miel",2006,28.38,nan
Singapur,0409,"Huevos, productos lácteos y miel",2006,207.53,nan
Singapur,1509,Aceites,2006,2503.94,nan
Singapur,1511,Aceites,2006,nan,1208.98
Singapur,1512,Aceites,2006,804.57,nan
Singapur,2201,Bebidas,2006,5050.12,4.62
Singapur,2202,Bebidas,2006,4113.14,7038.50
Singapur,2203,Bebidas,2006,7374.24,1533.98
Singapur,2204,Bebidas,2006,164018.62,295.96
Singapur,2205,Bebidas,2006,195.75,nan
Singapur,2206,Bebidas,2006,45.28,nan
Singapur,2207,Bebidas,2006,2218.67,nan
Singapur,1803,Chocolates,2006,3314.52,nan
Singapur,1804,Chocolates,2006,2.03,1398.54
Singapur,1805,Chocolates,2006,3482.75,12.04
Singapur,1905,Panaderia y pastelería,2006,11696.32,5926.90
Singapur,0201,Productos cárnicos,2007,0.99,nan
Singapur,0202,Productos cárnicos,2007,45.83,nan
Singapur,0203,Productos cárnicos,2007,19059.16,nan
Singapur,0204,Productos cárnicos,2007,5.53,nan
Singapur,0205,Productos cárnicos,2007,nan,nan
Singapur,0206,Productos cárnicos,2007,6573.14,nan
Singapur,0207,Productos cárnicos,2007,2472.26,nan
Singapur,0208,Productos cárnicos,2007,70.78,nan
Singapur,0209,Productos cárnicos,2007,72.04,nan
Singapur,0210,Productos cárnicos,2007,1507.39,nan
Singapur,0302,Pescados y mariscos,2007,75.83,1.29
Singapur,0303,Pescados y mariscos,2007,7436.77,13947.75
Singapur,0304,Pescados y mariscos,2007,8429.93,931.30
Singapur,0305,Pescados y mariscos,2007,155.68,11.29
Singapur,0701,Verduras y hortalizas,2007,166.91,nan
Singapur,0702,Verduras y hortalizas,2007,409.39,nan
Singapur,0703,Verduras y hortalizas,2007,556.33,nan
Singapur,0704,Verduras y hortalizas,2007,31.90,nan
Singapur,0705,Verduras y hortalizas,2007,83.91,nan
Singapur,0706,Verduras y hortalizas,2007,44.89,nan
Singapur,0707,Verduras y hortalizas,2007,6.35,nan
Singapur,0708,Verduras y hortalizas,2007,2.69,nan
Singapur,0803,Frutas y frutos secos,2007,nan,nan
Singapur,0804,Frutas y frutos secos,2007,29.14,nan
Singapur,0805,Frutas y frutos secos,2007,803.83,nan
Singapur,0806,Frutas y frutos secos,2007,53.86,nan
Singapur,0807,Frutas y frutos secos,2007,150.21,nan
Singapur,0808,Frutas y frutos secos,2007,2128.62,nan
Singapur,0809,Frutas y frutos secos,2007,168.64,nan
Singapur,0810,Frutas y frutos secos,2007,1386.94,2.66
Singapur,1101,Cereales y harinas,2007,162.52,0.23
Singapur,1102,Cereales y harinas,2007,16.83,0.23
Singapur,1103,Cereales y harinas,2007,717.19,nan
Singapur,1104,Cereales y harinas,2007,461.23,nan
Singapur,0401,"Huevos, productos lácteos y miel",2007,3375.34,nan
Singapur,0402,"Huevos, productos lácteos y miel",2007,32272.01,9.98
Singapur,0403,"Huevos, productos lácteos y miel",2007,1681.30,nan
Singapur,0404,"Huevos, productos lácteos y miel",2007,21302.32,3.46
Singapur,0405,"Huevos, productos lácteos y miel",2007,24368.91,2.18
Singapur,0406,"Huevos, productos lácteos y miel",2007,8971.60,nan
Singapur,0407,"Huevos, productos lácteos y miel",2007,64.04,1.39
Singapur,0408,"Huevos, productos lácteos y miel",2007,19.73,nan
Singapur,0409,"Huevos, productos lácteos y miel",2007,210.24,nan
Singapur,1509,Aceites,2007,2698.59,nan
Singapur,1511,Aceites,2007,nan,5708.98
Singapur,1512,Aceites,2007,108.87,nan
Singapur,2201,Bebidas,2007,5212.56,75.56
