País,Tarics,Descripción,Año,Exportaciones,Importaciones
Vietnam,0201,Productos cárnicos,2006,22.81,nan
Vietnam,0202,Productos cárnicos,2006,nan,nan
Vietnam,0203,Productos cárnicos,2006,29.32,nan
Vietnam,0204,Productos cárnicos,2006,nan,nan
Vietnam,0205,Productos cárnicos,2006,nan,nan
Vietnam,0206,Productos cárnicos,2006,204.59,nan
Vietnam,0207,Productos cárnicos,2006,1765.54,nan
Vietnam,0208,Productos cárnicos,2006,0.44,1469.53
Vietnam,0209,Productos cárnicos,2006,nan,nan
Vietnam,0210,Productos cárnicos,2006,53.48,nan
Vietnam,0302,Pescados y mariscos,2006,59.59,17.38
Vietnam,0303,Pescados y mariscos,2006,943.42,19858.57
Vietnam,0304,Pescados y mariscos,2006,3912.78,286574.32
Vietnam,0305,Pescados y mariscos,2006,6.59,160.00
Vietnam,0701,Verduras y hortalizas,2006,125.78,nan
Vietnam,0702,Verduras y hortalizas,2006,nan,nan
Vietnam,0703,Verduras y hortalizas,2006,nan,11.65
Vietnam,0704,Verduras y hortalizas,2006,nan,0.95
Vietnam,0705,Verduras y hortalizas,2006,0.31,nan
Vietnam,0706,Verduras y hortalizas,2006,nan,1.76
Vietnam,0707,Verduras y hortalizas,2006,nan,nan
Vietnam,0708,Verduras y hortalizas,2006,nan,2.17
Vietnam,0803,Frutas y frutos secos,2006,nan,171.71
Vietnam,0804,Frutas y frutos secos,2006,nan,249.10
Vietnam,0805,Frutas y frutos secos,2006,36.96,76.12
Vietnam,0806,Frutas y frutos secos,2006,nan,nan
Vietnam,0807,Frutas y frutos secos,2006,nan,1.47
Vietnam,0808,Frutas y frutos secos,2006,nan,nan
Vietnam,0809,Frutas y frutos secos,2006,nan,1.03
Vietnam,0810,Frutas y frutos secos,2006,41.14,2903.69
Vietnam,1101,Cereales y harinas,2006,18.23,nan
Vietnam,1102,Cereales y harinas,2006,3.29,42.90
Vietnam,1103,Cereales y harinas,2006,3.93,0.12
Vietnam,1104,Cereales y harinas,2006,1.60,2.95
Vietnam,0401,"Huevos, productos lácteos y miel",2006,68.75,nan
Vietnam,0402,"Huevos, productos lácteos y miel",2006,16681.47,1.82
Vietnam,0403,"Huevos, productos lácteos y miel",2006,94.51,nan
Vietnam,0404,"Huevos, productos lácteos y miel",2006,7794.32,nan
Vietnam,0405,"Huevos, productos lácteos y miel",2006,2309.51,nan
Vietnam,0406,"Huevos, productos lácteos y miel",2006,4338.56,nan
Vietnam,0407,"Huevos, productos lácteos y miel",2006,12.72,nan
Vietnam,0408,"Huevos, productos lácteos y miel",2006,4.70,nan
Vietnam,0409,"Huevos, productos lácteos y miel",2006,8.23,857.49
Vietnam,1509,Aceites,2006,439.09,nan
Vietnam,1511,Aceites,2006,19.80,0.61
Vietnam,1512,Aceites,2006,12.21,nan
Vietnam,2201,Bebidas,2006,353.98,1.03
Vietnam,2202,Bebidas,2006,1881.06,458.64
Vietnam,2203,Bebidas,2006,537.05,133.26
Vietnam,2204,Bebidas,2006,8102.25,0.11
Vietnam,2205,Bebidas,2006,25.23,nan
Vietnam,2206,Bebidas,2006,13.14,0.02
Vietnam,2207,Bebidas,2006,16.50,nan
Vietnam,1803,Chocolates,2006,nan,nan
Vietnam,1804,Chocolates,2006,nan,nan
Vietnam,1805,Chocolates,2006,107.33,nan
Vietnam,1905,Panaderia y pastelería,2006,966.38,5872.18
Vietnam,0201,Productos cárnicos,2007,48.56,nan
Vietnam,0202,Productos cárnicos,2007,10.38,nan
Vietnam,0203,Productos cárnicos,2007,1477.69,nan
Vietnam,0204,Productos cárnicos,2007,185.20,15.36
Vietnam,0205,Productos cárnicos,2007,nan,nan
Vietnam,0206,Productos cárnicos,2007,4307.03,nan
Vietnam,0207,Productos cárnicos,2007,8918.71,25.08
Vietnam,0208,Productos cárnicos,2007,nan,1772.10
Vietnam,0209,Productos cárnicos,2007,285.52,nan
Vietnam,0210,Productos cárnicos,2007,53.10,nan
Vietnam,0302,Pescados y mariscos,2007,26.01,76.69
Vietnam,0303,Pescados y mariscos,2007,4216.86,21419.29
Vietnam,0304,Pescados y mariscos,2007,5597.68,385091.49
Vietnam,0305,Pescados y mariscos,2007,9.56,467.79
Vietnam,0701,Verduras y hortalizas,2007,164.95,nan
Vietnam,0702,Verduras y hortalizas,2007,nan,nan
Vietnam,0703,Verduras y hortalizas,2007,1.52,31.14
Vietnam,0704,Verduras y hortalizas,2007,nan,0.69
Vietnam,0705,Verduras y hortalizas,2007,0.03,nan
Vietnam,0706,Verduras y hortalizas,2007,nan,1.33
Vietnam,0707,Verduras y hortalizas,2007,nan,nan
Vietnam,0708,Verduras y hortalizas,2007,nan,0.24
Vietnam,0803,Frutas y frutos secos,2007,nan,96.96
Vietnam,0804,Frutas y frutos secos,2007,nan,301.08
Vietnam,0805,Frutas y frutos secos,2007,147.13,203.09
Vietnam,0806,Frutas y frutos secos,2007,nan,nan
Vietnam,0807,Frutas y frutos secos,2007,nan,5.06
Vietnam,0808,Frutas y frutos secos,2007,124.83,0.01
Vietnam,0809,Frutas y frutos secos,2007,nan,0.54
Vietnam,0810,Frutas y frutos secos,2007,100.54,3270.40
Vietnam,1101,Cereales y harinas,2007,28.64,7.15
Vietnam,1102,Cereales y harinas,2007,3.57,63.58
Vietnam,1103,Cereales y harinas,2007,1.52,0.65
Vietnam,1104,Cereales y harinas,2007,0.73,4.16
Vietnam,0401,"Huevos, productos lácteos y miel",2007,264.82,nan
Vietnam,0402,"Huevos, productos lácteos y miel",2007,23028.32,0.39
Vietnam,0403,"Huevos, productos lácteos y miel",2007,261.68,nan
Vietnam,0404,"Huevos, productos lácteos y miel",2007,16502.06,nan
Vietnam,0405,"Huevos, productos lácteos y miel",2007,3904.31,0.08
Vietnam,0406,"Huevos, productos lácteos y miel",2007,6802.80,nan
Vietnam,0407,"Huevos, productos lácteos y miel",2007,2.21,nan
Vietnam,0408,"Huevos, productos lácteos y miel",2007,nan,nan
Vietnam,0409,"Huevos, productos lácteos y miel",2007,29.67,351.23
Vietnam,1509,Aceites,2007,544.98,nan
Vietnam,1511,Aceites,2007,nan,nan
Vietnam,1512,Aceites,2007,20.27,nan
Vietnam,2201,Bebidas,2007,370.66,1.30
Vietnam,2202,Bebidas,2007,292.34,484.84
Vietnam,2203,Bebidas,2007,1674.88,190.18
Vietnam,2204,Bebidas,2007,9864.34,50.69
Vietnam,2205,Bebidas,2007,35.14,nan
Vietnam,2206,Bebidas,2007,109.40,nan
Vietnam,2207,Bebidas,2007,60.42,0.04
Vietnam,1803,Chocolates,2007,nan,nan
Vietnam,1804,Chocolates,2007,nan,nan
Vietnam,1805,Chocolates,2007,256.81,nan
Vietnam,1905,Panaderia y pastelería,2007,1231.06,6888.78
Vietnam,0201,Productos cárnicos,2008,217.84,nan
Vietnam,0202,Productos cárnicos,2008,264.16,nan
Vietnam,0203,Productos cárnicos,2008,4098.08,nan
Vietnam,0204,Productos cárnicos,2008,56.74,nan
Vietnam,0205,Productos cárnicos,2008,nan,nan
Vietnam,0206,Productos cárnicos,2008,9343.58,nan
Vietnam,0207,Productos cárnicos,2008,21013.19,3.95
Vietnam,0208,Productos cárnicos,2008,7.18,1231.64
Vietnam,0209,Productos cárnicos,2008,399.56,nan
Vietnam,0210,Productos cárnicos,2008,55.71,nan
Vietnam,0302,Pescados y mariscos,2008,94.59,103.28
Vietnam,0303,Pescados y mariscos,2008,2016.75,27070.28
Vietnam,0304,Pescados y mariscos,2008,7030.46,449771.27
Vietnam,0305,Pescados y mariscos,2008,67.02,721.70
Vietnam,0701,Verduras y hortalizas,2008,78.61,nan
Vietnam,0702,Verduras y hortalizas,2008,nan,nan
Vietnam,0703,Verduras y hortalizas,2008,nan,109.54
Vietnam,0704,Verduras y hortalizas,2008,nan,nan
Vietnam,0705,Verduras y hortalizas,2008,0.15,nan
Vietnam,0706,Verduras y hortalizas,2008,nan,0.05
Vietnam,0707,Verduras y hortalizas,2008,nan,0.01
Vietnam,0708,Verduras y hortalizas,2008,nan,1.02
Vietnam,0803,Frutas y frutos secos,2008,47.07,140.43
Vietnam,0804,Frutas y frutos secos,2008,nan,258.47
Vietnam,0805,Frutas y frutos secos,2008,16.22,436.49
Vietnam,0806,Frutas y frutos secos,2008,nan,nan
Vietnam,0807,Frutas y frutos secos,2008,nan,17.48
Vietnam,0808,Frutas y frutos secos,2008,31.75,0.02
Vietnam,0809,Frutas y frutos secos,2008,nan,0.48
Vietnam,0810,Frutas y frutos secos,2008,83.86,4570.51
Vietnam,1101,Cereales y harinas,2008,53.13,39.99
Vietnam,1102,Cereales y harinas,2008,109.97,93.56
Vietnam,1103,Cereales y harinas,2008,3.00,2.26
Vietnam,1104,Cereales y harinas,2008,nan,15.65
Vietnam,0401,"Huevos, productos lácteos y miel",2008,310.68,nan
Vietnam,0402,"Huevos, productos lácteos y miel",2008,10538.06,3.06
Vietnam,0403,"Huevos, productos lácteos y miel",2008,255.37,nan
Vietnam,0404,"Huevos, productos lácteos y miel",2008,10982.53,nan
Vietnam,0405,"Huevos, productos lácteos y miel",2008,2204.99,nan
Vietnam,0406,"Huevos, productos lácteos y miel",2008,8409.11,nan
Vietnam,0407,"Huevos, productos lácteos y miel",2008,36.30,nan
Vietnam,0408,"Huevos, productos lácteos y miel",2008,10.34,nan
Vietnam,0409,"Huevos, productos lácteos y miel",2008,5.47,34.76
Vietnam,1509,Aceites,2008,716.17,nan
Vietnam,1511,Aceites,2008,11.98,nan
Vietnam,1512,Aceites,2008,61.64,nan
Vietnam,2201,Bebidas,2008,411.95,2.23
Vietnam,2202,Bebidas,2008,523.92,1105.57
Vietnam,2203,Bebidas,2008,7428.61,202.07
Vietnam,2204,Bebidas,2008,8186.81,2.80
Vietnam,2205,Bebidas,2008,55.42,nan
Vietnam,2206,Bebidas,2008,75.78,nan
Vietnam,2207,Bebidas,2008,90.79,nan
Vietnam,1803,Chocolates,2008,nan,nan
Vietnam,1804,Chocolates,2008,nan,nan
Vietnam,1805,Chocolates,2008,358.61,nan
Vietnam,1905,Panaderia y pastelería,2008,1658.99,8768.21
Vietnam,0201,Productos cárnicos,2009,157.03,nan
Vietnam,0202,Productos cárnicos,2009,200.96,nan
Vietnam,0203,Productos cárnicos,2009,3516.40,nan
Vietnam,0204,Productos cárnicos,2009,537.73,nan
Vietnam,0205,Productos cárnicos,2009,nan,nan
Vietnam,0206,Productos cárnicos,2009,19991.61,nan
Vietnam,0207,Productos cárnicos,2009,22644.08,nan
Vietnam,0208,Productos cárnicos,2009,154.80,1781.62
Vietnam,0209,Productos cárnicos,2009,105.72,nan
Vietnam,0210,Productos cárnicos,2009,83.41,0.31
Vietnam,0302,Pescados y mariscos,2009,21.24,13.04
Vietnam,0303,Pescados y mariscos,2009,11651.80,20574.37
Vietnam,0304,Pescados y mariscos,2009,11235.56,440961.16
Vietnam,0305,Pescados y mariscos,2009,447.74,491.21
Vietnam,0701,Verduras y hortalizas,2009,53.34,0.16
Vietnam,0702,Verduras y hortalizas,2009,nan,nan
Vietnam,0703,Verduras y hortalizas,2009,nan,23.54
Vietnam,0704,Verduras y hortalizas,2009,nan,0.76
Vietnam,0705,Verduras y hortalizas,2009,nan,nan
Vietnam,0706,Verduras y hortalizas,2009,nan,2.11
Vietnam,0707,Verduras y hortalizas,2009,nan,nan
Vietnam,0708,Verduras y hortalizas,2009,nan,0.97
Vietnam,0803,Frutas y frutos secos,2009,19.94,138.18
Vietnam,0804,Frutas y frutos secos,2009,23.57,271.29
Vietnam,0805,Frutas y frutos secos,2009,10.64,596.15
Vietnam,0806,Frutas y frutos secos,2009,1.84,nan
Vietnam,0807,Frutas y frutos secos,2009,nan,17.93
Vietnam,0808,Frutas y frutos secos,2009,2.39,nan
Vietnam,0809,Frutas y frutos secos,2009,15.49,2.25
Vietnam,0810,Frutas y frutos secos,2009,40.45,4474.36
Vietnam,1101,Cereales y harinas,2009,5.22,24.62
Vietnam,1102,Cereales y harinas,2009,603.84,104.13
Vietnam,1103,Cereales y harinas,2009,nan,3.05
Vietnam,1104,Cereales y harinas,2009,1.63,15.67
Vietnam,0401,"Huevos, productos lácteos y miel",2009,511.52,nan
Vietnam,0402,"Huevos, productos lácteos y miel",2009,18358.13,4.01
Vietnam,0403,"Huevos, productos lácteos y miel",2009,649.18,0.43
Vietnam,0404,"Huevos, productos lácteos y miel",2009,7858.89,nan
Vietnam,0405,"Huevos, productos lácteos y miel",2009,2012.62,nan
Vietnam,0406,"Huevos, productos lácteos y miel",2009,8350.15,nan
Vietnam,0407,"Huevos, productos lácteos y miel",2009,9.59,nan
Vietnam,0408,"Huevos, productos lácteos y miel",2009,nan,0.01
Vietnam,0409,"Huevos, productos lácteos y miel",2009,20.17,13.56
Vietnam,1509,Aceites,2009,1024.46,nan
Vietnam,1511,Aceites,2009,nan,nan
Vietnam,1512,Aceites,2009,79.39,nan
Vietnam,2201,Bebidas,2009,328.29,1.50
Vietnam,2202,Bebidas,2009,901.14,1254.22
Vietnam,2203,Bebidas,2009,9099.27,277.06
Vietnam,2204,Bebidas,2009,9377.14,19.05
Vietnam,2205,Bebidas,2009,208.55,nan
Vietnam,2206,Bebidas,2009,31.52,0.74
Vietnam,2207,Bebidas,2009,26.71,0.00
Vietnam,1803,Chocolates,2009,nan,nan
Vietnam,1804,Chocolates,2009,0.70,nan
Vietnam,1805,Chocolates,2009,559.36,nan
Vietnam,1905,Panaderia y pastelería,2009,2282.79,7500.30
Vietnam,0201,Productos cárnicos,2010,17.78,nan
Vietnam,0202,Productos cárnicos,2010,158.77,nan
Vietnam,0203,Productos cárnicos,2010,1352.20,nan
Vietnam,0204,Productos cárnicos,2010,389.77,nan
Vietnam,0205,Productos cárnicos,2010,nan,nan
Vietnam,0206,Productos cárnicos,2010,7432.08,nan
Vietnam,0207,Productos cárnicos,2010,18820.69,205.64
Vietnam,0208,Productos cárnicos,2010,76.52,2656.14
Vietnam,0209,Productos cárnicos,2010,nan,nan
Vietnam,0210,Productos cárnicos,2010,97.32,nan
Vietnam,0302,Pescados y mariscos,2010,18.56,83.34
Vietnam,0303,Pescados y mariscos,2010,17310.22,20268.57
Vietnam,0304,Pescados y mariscos,2010,15938.82,440072.34
Vietnam,0305,Pescados y mariscos,2010,732.22,892.02
Vietnam,0701,Verduras y hortalizas,2010,81.35,nan
Vietnam,0702,Verduras y hortalizas,2010,nan,nan
Vietnam,0703,Verduras y hortalizas,2010,nan,23.80
Vietnam,0704,Verduras y hortalizas,2010,nan,nan
Vietnam,0705,Verduras y hortalizas,2010,nan,nan
Vietnam,0706,Verduras y hortalizas,2010,nan,0.01
Vietnam,0707,Verduras y hortalizas,2010,nan,nan
Vietnam,0708,Verduras y hortalizas,2010,nan,9.27
Vietnam,0803,Frutas y frutos secos,2010,nan,69.31
Vietnam,0804,Frutas y frutos secos,2010,21.94,378.21
Vietnam,0805,Frutas y frutos secos,2010,5.18,1387.08
Vietnam,0806,Frutas y frutos secos,2010,141.41,nan
Vietnam,0807,Frutas y frutos secos,2010,nan,26.61
Vietnam,0808,Frutas y frutos secos,2010,nan,nan
Vietnam,0809,Frutas y frutos secos,2010,1.50,2.49
Vietnam,0810,Frutas y frutos secos,2010,9.36,7085.86
Vietnam,1101,Cereales y harinas,2010,26.02,38.23
Vietnam,1102,Cereales y harinas,2010,442.28,154.77
Vietnam,1103,Cereales y harinas,2010,nan,4.49
Vietnam,1104,Cereales y harinas,2010,3.00,22.66
Vietnam,0401,"Huevos, productos lácteos y miel",2010,831.58,nan
Vietnam,0402,"Huevos, productos lácteos y miel",2010,30866.69,3.40
Vietnam,0403,"Huevos, productos lácteos y miel",2010,1130.67,0.09
Vietnam,0404,"Huevos, productos lácteos y miel",2010,14092.27,nan
Vietnam,0405,"Huevos, productos lácteos y miel",2010,1430.77,nan
Vietnam,0406,"Huevos, productos lácteos y miel",2010,10896.53,nan
Vietnam,0407,"Huevos, productos lácteos y miel",2010,nan,nan
Vietnam,0408,"Huevos, productos lácteos y miel",2010,nan,nan
Vietnam,0409,"Huevos, productos lácteos y miel",2010,29.84,6.84
Vietnam,1509,Aceites,2010,881.41,0.07
Vietnam,1511,Aceites,2010,0.57,0.73
Vietnam,1512,Aceites,2010,85.59,nan
Vietnam,2201,Bebidas,2010,547.23,0.63
Vietnam,2202,Bebidas,2010,473.48,1207.81
Vietnam,2203,Bebidas,2010,8593.35,369.94
Vietnam,2204,Bebidas,2010,10607.84,1.67
Vietnam,2205,Bebidas,2010,107.50,nan
Vietnam,2206,Bebidas,2010,42.08,0.41
Vietnam,2207,Bebidas,2010,63.47,nan
Vietnam,1803,Chocolates,2010,150.67,nan
Vietnam,1804,Chocolates,2010,0.25,nan
Vietnam,1805,Chocolates,2010,1984.46,1.00
Vietnam,1905,Panaderia y pastelería,2010,2988.11,9116.82
Vietnam,0201,Productos cárnicos,2011,nan,nan
Vietnam,0202,Productos cárnicos,2011,547.91,nan
Vietnam,0203,Productos cárnicos,2011,1744.03,nan
Vietnam,0204,Productos cárnicos,2011,762.41,nan
Vietnam,0205,Productos cárnicos,2011,nan,nan
Vietnam,0206,Productos cárnicos,2011,4691.97,nan
Vietnam,0207,Productos cárnicos,2011,14646.99,16.09
Vietnam,0208,Productos cárnicos,2011,253.28,1951.54
Vietnam,0209,Productos cárnicos,2011,114.78,nan
Vietnam,0210,Productos cárnicos,2011,177.79,nan
Vietnam,0302,Pescados y mariscos,2011,68.47,15.82
Vietnam,0303,Pescados y mariscos,2011,57477.85,29945.78
Vietnam,0304,Pescados y mariscos,2011,23875.71,422322.27
Vietnam,0305,Pescados y mariscos,2011,474.90,485.36
Vietnam,0701,Verduras y hortalizas,2011,56.32,2.60
Vietnam,0702,Verduras y hortalizas,2011,nan,nan
Vietnam,0703,Verduras y hortalizas,2011,nan,72.40
Vietnam,0704,Verduras y hortalizas,2011,nan,4.06
Vietnam,0705,Verduras y hortalizas,2011,nan,nan
Vietnam,0706,Verduras y hortalizas,2011,nan,9.24
Vietnam,0707,Verduras y hortalizas,2011,nan,nan
