País,Año,Exportaciones,Importaciones
Canadá,2006,1051286.27,210136.81
Canadá,2007,1088818.35,140204.40999999997
Canadá,2008,1141357.97,150042.4
Canadá,2009,1023324.9400000001,117085.06000000003
Canadá,2010,1245802.17,106363.20999999996
Canadá,2011,1320820.3,101542.33000000002
Canadá,2012,1458406.4699999997,92899.52000000002
Canadá,2013,1471964.9300000002,72102.55
Canadá,2014,1487521.03,76690.59000000003
Canadá,2015,1592472.7200000002,84302.51999999997
Canadá,2016,1704768.7499999998,91782.68000000001
Canadá,2017,1840684.49,97884.35999999994
Canadá,2018,1958965.7200000004,115271.08999999998
Canadá,2019,2034352.31,140084.6499999999
Canadá,2020,2106302.23,185443.18
Corea del Sur,2006,1543254.3600000003,32048.490000000005
Corea del Sur,2007,1623080.4400000002,52320.469999999994
Corea del Sur,2008,1601880.78,51814.45999999999
Corea del Sur,2009,1390964.48,62999.130000000005
Corea del Sur,2010,1735598.1099999999,68782.5
Corea del Sur,2011,2193961.81,67020.77
Corea del Sur,2012,2234879.64,80965.23
Corea del Sur,2013,2164105.1599999997,53391.000000000015
Corea del Sur,2014,2591993.02,81321.85
Corea del Sur,2015,2737222.090000001,109750.73000000001
Corea del Sur,2016,3063791.21,129193.76999999999
Corea del Sur,2017,3452914.7199999997,153410.15
Corea del Sur,2018,3636335.6300000004,141704.11
Corea del Sur,2019,3716381.24,133062.94
Corea del Sur,2020,3778589.1699999995,137903.52000000002
Japón,2006,2322582.8599999994,16590.850000000002
Japón,2007,2269400.3200000003,16473.94
Japón,2008,2261768.8400000003,15950.75
Japón,2009,1888472.7299999997,23162.239999999998
Japón,2010,2237910.89,21324.289999999997
Japón,2011,2465782.4099999997,16019.57
Japón,2012,2755755.8,17416.989999999998
Japón,2013,2706829.67,18989.409999999996
Japón,2014,2971598.63,27036.540000000008
Japón,2015,2987333.749999999,27675.099999999995
Japón,2016,3284018.7500000005,34508.78
Japón,2017,3563887.1599999997,38630.85
Japón,2018,3663785.6199999996,40556.90999999999
Japón,2019,3917913.73,52809.159999999996
Japón,2020,3533076.4899999993,51597.270000000004
Singapur,2006,308455.24000000005,41632.74
Singapur,2007,391502.9600000001,40338.14
Singapur,2008,354880.45999999996,35452.76
Singapur,2009,290985.5899999999,37751.7
Singapur,2010,418015.12000000005,46874.070000000014
Singapur,2011,542848.2200000001,58677.159999999996
Singapur,2012,595258.03,29292.43
Singapur,2013,630294.3400000001,27982.120000000003
Singapur,2014,701945.6600000001,23826.87
Singapur,2015,718083.0199999999,31055.519999999997
Singapur,2016,689713.59,27853.270000000004
Singapur,2017,798708.0899999999,32227.39
Singapur,2018,839056.6600000001,27760.43
Singapur,2019,852787.0299999998,27423.03
Singapur,2020,775389.7200000001,29166.390000000003
Vietnam,2006,51016.590000000004,318870.5800000001
Vietnam,2007,90965.93000000001,420821.41000000015
Vietnam,2008,97422.13999999998,494706.78
Vietnam,2009,133216.00000000003,478567.75999999983
Vietnam,2010,148881.34999999998,484090.25000000006
Vietnam,2011,231955.94,478180.78999999986
Vietnam,2012,293742.30000000005,443658.0100000002
Vietnam,2013,271572.2400000001,375809.21
Vietnam,2014,323803.61,357234.90999999986
Vietnam,2015,401579.45000000007,379572.97
Vietnam,2016,496305.15000000014,365473.0999999999
Vietnam,2017,515808.15,320290.22000000003
Vietnam,2018,466455.6600000001,324090.48000000004
Vietnam,2019,462498.4799999999,357512.1600000001
Vietnam,2020,433784.11,283676.55000000005
