;Tiempo;;;;;;;;;;;;;;;
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;
;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;
TARIC;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Variación - Año Ant. %
0201--CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA. ;0,25;0,94;1,14;;0,39;2,96;;;719,22;875,13;158,23;1.313,22;1.551,72;1.998,22;2.106,21;5,40
0202--CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA. ;38,01;0,68;1,38;14,11;12,05;22,71;65,10;9,65;326,76;139,00;1.430,08;2.984,49;2.531,48;14.026,72;51.373,51;266,25
0203--CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA. ;309.273,64;286.542,02;237.622,71;180.503,47;221.499,94;463.159,80;380.230,17;271.311,58;548.277,02;529.558,79;667.161,16;741.587,41;814.566,64;712.285,17;629.292,33;-11,65
0204--CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA. ;;19,66;;42,05;1,90;5,32;17,73;90,44;85,21;280,02;1.283,08;4.588,18;6.058,74;7.167,79;6.707,78;-6,42
0205--CARNE DE ANIMALES DE LAS ESPECIES CABALLAR, ASNAL O MULAR, FRESCA, REFRIGERADA O CONGELADA. ;;;;4,25;;;;;;;;;;;;0,00
0206--DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR, FRESCOS, REFRIGERADOS O CONGELADOS. ;16.731,05;17.180,56;15.211,00;11.768,54;18.901,90;37.547,17;28.989,22;17.448,11;50.643,21;55.240,07;44.447,20;77.383,55;70.771,41;57.472,41;45.418,22;-20,97
0207--CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS. ;2.918,10;3.827,05;3.644,96;4.131,70;10.286,89;8.201,38;10.367,30;14.710,29;16.750,42;23.470,51;23.865,70;22.620,31;28.158,36;33.824,31;26.601,80;-21,35
0208--LAS DEMAS CARNES Y DESPOJOS COMESTIBLES, FRESCOS, REFRIGERADOS O CONGELADOS (EXCEPTO DE AVES DE LA PARTIDA 01.05, DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR). ;1,25;27,56;2,24;50,33;23,57;279,36;220,17;620,10;776,69;469,61;357,22;221,50;184,64;628,62;502,43;-20,07
0209--(DESDE 01.01.96) TOCINO SIN PARTES MAGRAS Y GRASA DE CERDO O DE AVE, SIN FUNDIR NI EXTRAER DE OTRO MODO, FRESCOS, REFRIGERADOS, CONGELADOS, SALADOS O EN SALMUERA, SECOS O AHUMADOS. ;693,05;227,37;170,76;295,85;758,20;4.123,31;153,32;302,41;1.712,04;3.463,94;4.609,48;4.387,43;1.949,11;3.121,25;4.142,86;32,73
"0210--CARNE Y DESPOJOS, COMESTIBLES, SALADOS O EN SALMUERA, SECOS O AHUMADOS; HARINA Y POLVO COMESTIBLES, DE CARNE O DE DESPOJOS. ";6.646,89;4.372,01;5.694,67;4.501,67;6.567,32;7.147,45;8.622,28;9.117,63;9.888,57;14.180,54;19.075,32;21.764,37;22.217,69;31.092,63;38.440,50;23,63
0302--PESCADO FRESCO O REFRIGERADO, CON EXCLUSION DE LOS FILETES Y DEMAS CARNE DE PESCADO DE LA PARTIDA 03.04. ;3.192,44;2.856,27;7.769,01;3.156,25;3.488,56;5.992,49;8.421,18;6.346,44;6.760,68;14.502,93;12.535,72;16.518,17;21.528,22;18.322,31;10.148,20;-44,61
0303--PESCADO CONGELADO, CON EXCLUSION DE LOS FILETES Y DEMAS CARNE DE PESCADO DE LA PARTIDA 03.04. ;10.937,28;9.543,41;7.325,93;9.212,39;9.822,86;14.508,09;14.100,52;18.112,41;16.664,32;19.158,62;32.205,93;44.158,65;24.925,30;49.805,02;39.894,46;-19,90
0304--FILETES Y DEMAS CARNE DE PESCADO (INCLUSO PICADA), FRESCOS, REFRIGERADOS O CONGELADOS. ;2.821,80;3.043,47;2.711,47;2.010,76;4.761,88;3.224,74;7.180,77;6.069,84;7.064,62;20.613,50;28.983,37;47.215,52;56.693,60;42.066,68;43.284,35;2,89
"0305--PESCADO SECO, SALADO O EN SALMUERA; PESCADO AHUMADO, INCLUSO COCIDO ANTES O DURANTE EL AHUMADO; HARINA, POLVO Y ""PELLETS"" DE PESCADO APTOS PARA LA ALIMENTACION HUMANA. ";979,31;967,84;661,11;760,56;982,11;1.417,45;2.666,37;2.349,62;4.991,93;6.525,30;10.382,90;14.608,45;14.767,12;16.512,75;19.974,30;20,96
0701--PATATAS FRESCAS O REFRIGERADAS. ;11,39;22,01;59,24;15,26;45,04;9,62;105,60;62,00;40,41;1,63;9,52;147,56;190,76;58,90;96,69;64,16
0702--TOMATES FRESCOS O REFRIGERADOS. ;4.790,18;3.009,95;3.005,28;3.215,21;1.937,82;2.320,22;846,92;429,59;354,40;406,23;1.031,62;779,37;386,32;155,40;111,52;-28,24
0703--CEBOLLAS, CHALOTES, AJOS, PUERROS Y DEMAS HORTALIZAS ALIACEAS, FRESCOS O REFRIGERADOS. ;2.008,61;1.905,77;1.198,83;1.422,74;1.727,41;1.946,19;2.094,01;3.936,29;5.916,28;6.297,24;8.498,61;6.359,93;7.333,81;7.118,90;10.548,15;48,17
0704--COLES, COLIFLORES, COLES RIZADAS, COLINABOS Y PRODUCTOS COMESTIBLES SIMILARES DEL GENERO BRASSICA, FRESCOS O REFRIGERADOS. ;19,54;105,91;22,84;177,56;30,01;30,14;165,09;163,70;611,30;1.664,80;2.608,42;3.226,80;4.238,58;7.836,96;4.083,86;-47,89
0705--LECHUGAS (LACTUCA SATIVA) Y ACHICORIAS (COMPRENDIDAS LA ESCAROLA Y LA ENDIBIA) (CICHORIUM SPP.), FRESCAS O REFRIGERADAS. ;987,39;990,58;784,80;733,99;809,41;968,55;1.070,53;1.056,15;984,52;1.153,77;1.219,13;2.123,78;2.600,75;2.343,85;1.725,53;-26,38
0706--ZANAHORIAS, NABOS, REMOLACHAS PARA ENSALADA, SALSIFIES, APIONABOS, RABANOS Y RAICES COMESTIBLES SIMILARES, FRESCOS O REFRIGERADOS. ;34,00;70,13;45,22;141,61;68,45;102,11;139,23;156,18;253,70;311,27;627,82;695,77;473,94;881,15;209,16;-76,26
0707--PEPINOS Y PEPINILLOS, FRESCOS O REFRIGERADOS. ;2.549,78;554,84;521,46;334,00;112,83;931,61;729,24;2.329,07;2.461,32;2.177,92;2.402,05;1.851,72;2.262,32;1.645,23;461,63;-71,94
0708--LEGUMBRES, INCLUSO DESVAINADAS, FRESCAS O REFRIGERADAS. ;78,62;103,78;229,05;183,73;207,20;386,88;279,41;302,66;405,47;487,80;433,01;458,92;471,69;382,89;205,25;-46,39
"0803--PLATANOS (BANANAS), INCLUIDOS LOS ""PLANTAINS"" (PLATANOS MACHO), FRESCOS O SECOS. ";4,27;3,14;2,66;1,63;1,26;6,16;23,13;2,97;1,29;2,22;2,67;9,97;0,19;0,99;0,02;-97,98
0804--DATILES, HIGOS, PIÑAS (ANANAS), AGUACATES, GUAYABAS, MANGOS Y MANGOSTANES, FRESCOS O SECOS. ;1.550,42;1.408,31;1.322,08;1.685,11;1.317,88;1.735,15;2.201,05;1.849,68;2.321,07;2.350,76;2.191,92;3.043,59;2.646,81;2.340,50;2.811,12;20,11
0805--AGRIOS FRESCOS O SECOS. ;9.230,65;14.383,28;6.704,52;5.064,65;6.900,08;11.213,97;19.381,35;13.860,58;46.599,60;41.109,97;33.791,89;43.581,31;69.372,66;64.314,62;49.524,70;-23,00
0806--UVAS Y PASAS. ;3.298,86;1.251,42;1.224,28;690,44;544,47;1.076,27;1.426,06;1.060,14;1.296,25;1.069,08;1.709,11;3.195,87;3.104,83;2.631,90;2.577,61;-2,06
0807--MELONES, SANDIAS Y PAPAYAS, FRESCOS. ;63,67;31,30;1,66;60,46;41,35;123,33;140,22;74,88;231,45;360,72;138,71;247,14;217,91;204,57;163,68;-19,99
0808--MANZANAS, PERAS Y MEMBRILLOS, FRESCOS. ;1.418,51;1.598,95;1.571,10;1.337,28;1.498,51;3.022,56;3.590,80;1.922,77;2.763,86;4.739,85;7.369,61;8.620,16;7.629,27;7.907,64;5.304,41;-32,92
0809--ALBARICOQUES, CEREZAS, MELOCOTONES (INCLUIDOS LOS GRIÑONES Y NECTARINAS), CIRUELAS Y ENDRINOS, FRESCOS. ;889,51;1.267,01;724,76;1.606,22;1.176,98;1.320,54;1.850,76;1.736,67;2.464,02;3.547,97;5.948,20;8.930,42;3.863,34;4.931,38;3.252,02;-34,05
0810--LOS DEMAS FRUTOS FRESCOS. ;6.220,51;6.293,38;7.122,94;7.615,59;9.418,95;9.931,26;12.432,91;12.903,19;15.744,85;16.229,62;16.547,82;18.846,44;18.165,62;21.874,69;21.872,78;-0,01
1101--HARINA DE TRIGO Y DE MORCAJO O TRANQUILLON. ;1.280,02;1.758,54;3.080,00;4.431,82;1.217,49;1.204,18;1.677,33;1.928,01;2.506,32;3.005,18;3.638,92;4.043,22;4.820,02;5.168,02;6.103,75;18,11
1102--HARINA DE CEREALES, EXCEPTO DE TRIGO O DE MORCAJO O TRANQUILLON. ;989,28;1.011,75;1.154,40;1.138,58;1.197,60;941,55;1.260,01;1.507,23;1.012,54;1.404,87;1.167,70;1.538,45;2.050,25;2.301,70;2.437,55;5,90
