;Tiempo;;;;;;;;;;;;;;;
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;
;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;
TARIC;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Variación - Año Ant. %
0201--CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA. ;23,42;38,09;47,95;;3,66;46,71;53,87;1.292,65;1.183,41;1.141,79;1.988,73;1.915,99;1.483,59;1.604,71;970,42;-39,53
0202--CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA. ;0,07;7,61;;1,45;;;;341,65;1.250,18;3.598,37;4.048,08;5.149,40;4.019,22;13.980,32;24.343,92;74,13
0203--CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA. ;717.675,83;675.086,75;687.599,73;593.204,15;721.883,01;765.670,03;853.983,81;863.054,35;1.122.348,68;1.002.871,97;1.213.199,23;1.262.652,69;1.249.442,97;1.390.384,99;1.159.884,66;-16,58
0204--CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA. ;;;;;164,68;176,29;190,02;118,46;133,55;283,39;177,61;1.245,34;1.108,34;895,06;616,41;-31,13
0205--CARNE DE ANIMALES DE LAS ESPECIES CABALLAR, ASNAL O MULAR, FRESCA, REFRIGERADA O CONGELADA. ;847,07;838,68;751,59;870,04;924,50;1.014,44;1.036,02;1.486,85;1.835,80;2.490,61;3.773,65;6.124,51;7.786,93;6.843,24;4.832,08;-29,39
0206--DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR, FRESCOS, REFRIGERADOS O CONGELADOS. ;14.086,48;10.787,65;7.346,23;6.588,78;7.596,74;7.332,12;12.277,66;16.493,67;19.695,32;43.538,30;87.113,20;96.060,69;32.977,62;34.429,45;50.452,01;46,54
0207--CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS. ;27.813,48;29.147,72;29.224,16;23.111,00;36.872,48;42.998,77;42.761,54;54.416,13;48.158,54;44.362,32;32.881,59;21.794,11;38.784,43;30.384,51;17.784,73;-41,47
0208--LAS DEMAS CARNES Y DESPOJOS COMESTIBLES, FRESCOS, REFRIGERADOS O CONGELADOS (EXCEPTO DE AVES DE LA PARTIDA 01.05, DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR). ;461,28;664,23;1.009,46;654,39;688,10;696,77;991,15;1.148,31;941,55;1.004,95;843,43;983,57;887,96;986,61;628,51;-36,30
0209--(DESDE 01.01.96) TOCINO SIN PARTES MAGRAS Y GRASA DE CERDO O DE AVE, SIN FUNDIR NI EXTRAER DE OTRO MODO, FRESCOS, REFRIGERADOS, CONGELADOS, SALADOS O EN SALMUERA, SECOS O AHUMADOS. ;2.731,50;312,71;449,13;129,69;152,69;574,95;284,38;64,17;10.557,12;3.002,63;4.353,38;5.042,74;10.368,45;10.321,60;10.040,73;-2,72
"0210--CARNE Y DESPOJOS, COMESTIBLES, SALADOS O EN SALMUERA, SECOS O AHUMADOS; HARINA Y POLVO COMESTIBLES, DE CARNE O DE DESPOJOS. ";21.972,08;21.534,03;26.525,62;19.312,69;20.773,62;26.242,86;33.530,20;33.462,61;40.402,42;38.598,66;38.737,70;43.939,78;41.651,11;37.631,71;30.884,82;-17,93
0302--PESCADO FRESCO O REFRIGERADO, CON EXCLUSION DE LOS FILETES Y DEMAS CARNE DE PESCADO DE LA PARTIDA 03.04. ;172.087,61;155.974,58;161.817,50;81.873,04;118.414,24;174.870,33;156.939,59;71.617,53;64.921,09;86.272,94;128.950,68;136.941,21;108.545,56;97.732,09;106.810,79;9,29
0303--PESCADO CONGELADO, CON EXCLUSION DE LOS FILETES Y DEMAS CARNE DE PESCADO DE LA PARTIDA 03.04. ;95.800,69;133.169,98;89.836,86;53.222,39;96.266,63;79.339,61;94.619,66;131.850,68;124.259,51;94.424,13;78.675,32;76.426,82;132.142,14;93.206,57;80.568,22;-13,56
0304--FILETES Y DEMAS CARNE DE PESCADO (INCLUSO PICADA), FRESCOS, REFRIGERADOS O CONGELADOS. ;26.217,16;14.314,60;12.577,65;9.473,72;10.398,44;10.899,69;16.370,07;24.687,56;16.302,15;26.944,46;44.297,12;67.060,63;144.193,73;67.736,95;96.483,34;42,44
"0305--PESCADO SECO, SALADO O EN SALMUERA; PESCADO AHUMADO, INCLUSO COCIDO ANTES O DURANTE EL AHUMADO; HARINA, POLVO Y ""PELLETS"" DE PESCADO APTOS PARA LA ALIMENTACION HUMANA. ";3.357,98;2.492,80;1.710,85;5.841,78;6.193,24;5.680,62;5.766,72;7.802,35;11.868,79;10.456,13;8.186,04;9.335,06;4.065,42;2.980,41;4.467,94;49,91
0701--PATATAS FRESCAS O REFRIGERADAS. ;13,59;;43,55;1,14;1,72;0,01;23,18;25,33;6,91;0,01;2,11;0,03;15,34;250,62;0,01;-100,00
0702--TOMATES FRESCOS O REFRIGERADOS. ;41,49;6,79;0,13;0,01;8,42;2,15;161,46;2.181,07;1.821,80;1.647,76;3.251,88;3.438,09;4.099,52;4.652,29;4.632,69;-0,42
0703--CEBOLLAS, CHALOTES, AJOS, PUERROS Y DEMAS HORTALIZAS ALIACEAS, FRESCOS O REFRIGERADOS. ;1.271,24;1.846,38;1.040,74;848,80;676,30;796,36;1.089,25;1.450,12;1.849,30;3.835,89;5.595,02;6.107,42;6.654,41;5.399,68;6.416,66;18,83
0704--COLES, COLIFLORES, COLES RIZADAS, COLINABOS Y PRODUCTOS COMESTIBLES SIMILARES DEL GENERO BRASSICA, FRESCOS O REFRIGERADOS. ;460,27;708,87;358,52;421,37;18,31;48,33;63,70;57,84;96,39;268,90;249,16;240,89;265,37;217,01;161,53;-25,57
0705--LECHUGAS (LACTUCA SATIVA) Y ACHICORIAS (COMPRENDIDAS LA ESCAROLA Y LA ENDIBIA) (CICHORIUM SPP.), FRESCAS O REFRIGERADAS. ;1.275,22;1.178,62;2.012,09;780,14;700,84;756,76;894,90;853,67;743,47;1.537,62;1.861,60;1.553,33;1.655,34;752,19;462,97;-38,45
0706--ZANAHORIAS, NABOS, REMOLACHAS PARA ENSALADA, SALSIFIES, APIONABOS, RABANOS Y RAICES COMESTIBLES SIMILARES, FRESCOS O REFRIGERADOS. ;203,76;125,31;818,75;123,43;277,09;105,25;210,68;219,28;310,46;597,73;4.201,33;647,03;506,67;1.006,43;624,60;-37,94
0707--PEPINOS Y PEPINILLOS, FRESCOS O REFRIGERADOS. ;0,44;;13,35;2,39;;6,32;;;;0,04;6,68;1,19;0,09;;;0,00
0708--LEGUMBRES, INCLUSO DESVAINADAS, FRESCAS O REFRIGERADAS. ;4,23;4,13;18,64;3,14;9,25;3,98;56,08;74,92;13,28;26,45;13,07;31,40;26,14;64,55;12,49;-80,65
"0803--PLATANOS (BANANAS), INCLUIDOS LOS ""PLANTAINS"" (PLATANOS MACHO), FRESCOS O SECOS. ";10,12;;7,13;10,26;;0,54;1,41;0,40;1,19;2,24;3,52;0,22;2,27;2,48;3,83;54,44
0804--DATILES, HIGOS, PIÑAS (ANANAS), AGUACATES, GUAYABAS, MANGOS Y MANGOSTANES, FRESCOS O SECOS. ;208,36;304,55;179,11;116,07;177,11;127,54;177,09;191,24;428,77;291,79;336,71;373,16;403,22;420,91;424,46;0,84
0805--AGRIOS FRESCOS O SECOS. ;42,19;1.377,00;203,62;72,09;206,84;87,25;11,42;54,72;73,82;106,26;197,59;290,67;8,28;26,18;113,10;332,01
0806--UVAS Y PASAS. ;87,78;312,09;26,25;55,43;30,89;91,71;67,56;51,48;125,53;189,71;215,27;113,89;182,39;305,42;210,88;-30,95
0807--MELONES, SANDIAS Y PAPAYAS, FRESCOS. ;;;;2,91;0,15;;;;;0,01;0,05;14,07;23,44;4,97;64,76;1.203,02
0808--MANZANAS, PERAS Y MEMBRILLOS, FRESCOS. ;;58,78;0,15;;0,01;0,10;0,39;154,41;;;8,01;2,34;33,68;25,27;0,01;-99,96
0809--ALBARICOQUES, CEREZAS, MELOCOTONES (INCLUIDOS LOS GRIÑONES Y NECTARINAS), CIRUELAS Y ENDRINOS, FRESCOS. ;3,11;;;131,47;3,75;14,08;13,14;2,22;22,93;9,85;33,62;45,45;6,91;9,99;;-100,00
0810--LOS DEMAS FRUTOS FRESCOS. ;169,17;82,45;1.382,57;728,46;372,42;95,91;68,81;277,31;172,20;356,99;2.098,68;2.665,32;3.008,55;5.327,28;3.738,04;-29,83
1101--HARINA DE TRIGO Y DE MORCAJO O TRANQUILLON. ;623,78;865,79;978,21;1.207,75;1.214,47;1.526,59;1.761,46;1.988,25;1.630,25;1.854,17;2.118,42;1.808,27;2.183,52;2.317,52;1.822,44;-21,36
1102--HARINA DE CEREALES, EXCEPTO DE TRIGO O DE MORCAJO O TRANQUILLON. ;382,76;470,59;322,81;444,00;403,96;359,63;385,92;351,86;435,78;477,68;448,62;501,88;580,43;426,32;361,85;-15,12
"1103--GRAÑONES, SEMOLA Y ""PELLETS"", DE CEREALES. ";1.523,41;1.254,82;785,23;741,16;680,48;489,38;382,32;251,68;238,32;194,43;21,47;15,95;23,78;8,77;150,26;1.613,34
