;Tiempo;;;;;;;;;;;;;;;
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;
;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;
TARIC;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Variación - Año Ant. %
0201--CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA. ;0,95;0,99;3,14;;6,81;557,68;594,68;588,95;631,23;668,99;769,34;781,69;929,97;644,07;523,50;-18,72
0202--CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA. ;33,84;45,83;31,62;19,70;3,06;45,44;119,27;116,65;262,09;650,39;547,01;1.040,06;656,39;1.134,33;911,62;-19,63
0203--CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA. ;17.698,61;19.059,16;16.076,60;23.886,82;35.381,24;39.983,37;56.588,59;43.177,80;62.552,90;66.277,25;64.995,95;72.726,45;73.806,95;73.550,71;85.616,79;16,41
0204--CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA. ;11,84;5,53;1,22;1,86;0,45;55,60;51,85;3,68;4,19;61,75;86,85;139,54;607,25;2.683,59;2.738,47;2,05
0205--CARNE DE ANIMALES DE LAS ESPECIES CABALLAR, ASNAL O MULAR, FRESCA, REFRIGERADA O CONGELADA. ;;;;;;;;;84,37;;;;;;;0,00
0206--DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR, FRESCOS, REFRIGERADOS O CONGELADOS. ;5.626,86;6.573,14;4.669,50;4.688,03;6.726,13;13.043,97;14.408,67;10.171,41;11.004,85;11.948,42;15.281,47;12.548,07;9.666,56;8.837,78;8.735,57;-1,16
0207--CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS. ;2.183,08;2.472,26;2.050,17;1.894,51;2.212,84;4.862,03;4.443,40;5.329,67;5.941,92;7.755,26;7.701,79;8.545,99;11.282,51;10.589,24;8.848,99;-16,43
0208--LAS DEMAS CARNES Y DESPOJOS COMESTIBLES, FRESCOS, REFRIGERADOS O CONGELADOS (EXCEPTO DE AVES DE LA PARTIDA 01.05, DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR). ;25,57;70,78;47,53;31,04;24,13;108,91;105,72;637,36;50,71;127,62;176,91;182,38;235,76;248,06;181,17;-26,97
0209--(DESDE 01.01.96) TOCINO SIN PARTES MAGRAS Y GRASA DE CERDO O DE AVE, SIN FUNDIR NI EXTRAER DE OTRO MODO, FRESCOS, REFRIGERADOS, CONGELADOS, SALADOS O EN SALMUERA, SECOS O AHUMADOS. ;133,83;72,04;263,84;269,45;439,39;463,43;1.605,19;1.234,03;1.600,69;691,04;1.226,70;1.085,16;1.468,57;2.958,92;2.244,19;-24,16
"0210--CARNE Y DESPOJOS, COMESTIBLES, SALADOS O EN SALMUERA, SECOS O AHUMADOS; HARINA Y POLVO COMESTIBLES, DE CARNE O DE DESPOJOS. ";1.603,03;1.507,39;2.046,15;2.463,67;2.866,87;3.599,43;4.621,25;4.538,83;5.010,91;5.332,72;6.164,60;7.981,25;8.368,98;7.954,42;7.576,66;-4,75
0302--PESCADO FRESCO O REFRIGERADO, CON EXCLUSION DE LOS FILETES Y DEMAS CARNE DE PESCADO DE LA PARTIDA 03.04. ;117,27;75,83;180,90;151,92;317,28;644,82;776,77;767,68;652,46;710,04;918,37;1.141,68;859,06;1.292,73;935,73;-27,62
0303--PESCADO CONGELADO, CON EXCLUSION DE LOS FILETES Y DEMAS CARNE DE PESCADO DE LA PARTIDA 03.04. ;7.289,79;7.436,77;3.116,76;5.128,08;4.110,26;4.648,59;7.298,14;4.584,83;3.812,57;10.057,38;18.008,25;12.766,01;13.275,99;17.473,42;16.376,66;-6,28
0304--FILETES Y DEMAS CARNE DE PESCADO (INCLUSO PICADA), FRESCOS, REFRIGERADOS O CONGELADOS. ;8.951,55;8.429,93;7.106,46;6.570,51;10.536,04;18.620,20;2.736,99;4.750,29;4.125,75;2.826,32;2.761,89;3.355,68;5.115,59;4.880,82;2.804,30;-42,54
"0305--PESCADO SECO, SALADO O EN SALMUERA; PESCADO AHUMADO, INCLUSO COCIDO ANTES O DURANTE EL AHUMADO; HARINA, POLVO Y ""PELLETS"" DE PESCADO APTOS PARA LA ALIMENTACION HUMANA. ";134,70;155,68;140,80;265,95;589,56;397,84;734,59;779,17;969,02;919,16;1.687,13;1.541,87;1.185,18;1.012,94;1.373,39;35,58
0701--PATATAS FRESCAS O REFRIGERADAS. ;63,48;166,91;108,01;195,83;217,86;245,07;53,15;85,41;242,17;279,94;177,40;132,40;229,86;164,34;188,02;14,41
0702--TOMATES FRESCOS O REFRIGERADOS. ;328,16;409,39;225,30;92,87;134,21;287,68;1.099,52;614,65;804,64;1.220,68;2.045,14;2.781,90;3.365,23;4.437,09;4.713,96;6,24
0703--CEBOLLAS, CHALOTES, AJOS, PUERROS Y DEMAS HORTALIZAS ALIACEAS, FRESCOS O REFRIGERADOS. ;346,72;556,33;1.143,52;1.561,80;3.397,25;1.373,44;2.258,50;1.826,14;1.680,66;2.094,81;1.847,95;1.971,77;1.618,54;1.566,67;3.201,56;104,35
0704--COLES, COLIFLORES, COLES RIZADAS, COLINABOS Y PRODUCTOS COMESTIBLES SIMILARES DEL GENERO BRASSICA, FRESCOS O REFRIGERADOS. ;18,38;31,90;19,52;6,09;16,63;16,83;47,71;20,15;15,78;36,98;215,16;350,74;264,92;298,20;333,88;11,97
0705--LECHUGAS (LACTUCA SATIVA) Y ACHICORIAS (COMPRENDIDAS LA ESCAROLA Y LA ENDIBIA) (CICHORIUM SPP.), FRESCAS O REFRIGERADAS. ;110,04;83,91;36,94;10,58;30,88;37,15;65,52;55,17;125,82;102,12;191,14;693,34;718,10;726,92;845,19;16,27
0706--ZANAHORIAS, NABOS, REMOLACHAS PARA ENSALADA, SALSIFIES, APIONABOS, RABANOS Y RAICES COMESTIBLES SIMILARES, FRESCOS O REFRIGERADOS. ;29,57;44,89;40,58;6,59;11,97;31,38;27,32;34,72;47,90;16,03;37,55;56,63;27,13;28,05;18,38;-34,47
0707--PEPINOS Y PEPINILLOS, FRESCOS O REFRIGERADOS. ;4,88;6,35;4,43;1,51;3,31;;1,62;0,21;1,70;7,35;46,28;27,43;70,20;67,47;114,15;69,19
0708--LEGUMBRES, INCLUSO DESVAINADAS, FRESCAS O REFRIGERADAS. ;11,38;2,69;0,61;0,25;26,22;19,24;8,29;;10,87;1,35;54,85;1,47;5,52;3,97;2,78;-29,97
"0803--PLATANOS (BANANAS), INCLUIDOS LOS ""PLANTAINS"" (PLATANOS MACHO), FRESCOS O SECOS. ";1,39;;;;;;;;0,02;;0,10;0,28;0,24;0,44;0,11;-75,00
0804--DATILES, HIGOS, PIÑAS (ANANAS), AGUACATES, GUAYABAS, MANGOS Y MANGOSTANES, FRESCOS O SECOS. ;17,60;29,14;18,36;6,01;16,56;8,86;10,38;22,11;34,97;152,41;116,67;301,28;192,57;271,02;261,46;-3,53
0805--AGRIOS FRESCOS O SECOS. ;222,89;803,83;234,84;181,89;283,78;932,37;598,97;251,74;1.131,91;1.210,39;1.577,88;1.882,16;860,84;1.572,24;375,06;-76,14
0806--UVAS Y PASAS. ;44,68;53,86;28,21;66,82;108,64;298,34;148,39;375,19;96,84;276,37;421,24;782,57;1.024,53;965,70;921,62;-4,56
0807--MELONES, SANDIAS Y PAPAYAS, FRESCOS. ;234,47;150,21;265,01;261,67;471,70;835,70;906,74;669,32;459,61;506,70;676,82;577,28;280,06;275,39;115,31;-58,13
0808--MANZANAS, PERAS Y MEMBRILLOS, FRESCOS. ;1.456,45;2.128,62;2.707,43;2.269,61;3.798,29;4.647,01;6.402,78;5.291,76;7.698,34;8.020,11;7.097,79;6.901,68;6.093,54;6.211,97;3.805,88;-38,73
0809--ALBARICOQUES, CEREZAS, MELOCOTONES (INCLUIDOS LOS GRIÑONES Y NECTARINAS), CIRUELAS Y ENDRINOS, FRESCOS. ;51,31;168,64;38,18;238,03;162,34;169,55;665,73;397,91;736,98;1.937,72;2.209,73;2.615,74;1.596,32;2.214,84;1.556,96;-29,70
0810--LOS DEMAS FRUTOS FRESCOS. ;759,76;1.386,94;1.071,79;966,05;1.443,57;1.836,13;1.961,26;3.038,81;4.221,61;5.831,53;7.244,87;6.877,52;7.441,38;7.931,55;7.405,92;-6,63
1101--HARINA DE TRIGO Y DE MORCAJO O TRANQUILLON. ;124,94;162,52;411,91;398,02;115,50;169,64;307,13;485,20;454,33;690,94;684,73;624,08;730,26;795,12;877,19;10,32
1102--HARINA DE CEREALES, EXCEPTO DE TRIGO O DE MORCAJO O TRANQUILLON. ;17,87;16,83;46,83;47,73;53,76;56,38;93,25;80,24;59,58;86,38;65,74;45,99;68,65;70,90;112,61;58,83
"1103--GRAÑONES, SEMOLA Y ""PELLETS"", DE CEREALES. ";607,16;717,19;0,78;4,75;2,09;10,63;15,35;19,85;28,83;55,11;45,44;57,77;52,92;66,66;93,27;39,92
