;Tiempo;;;;;;;;;;;;;;;
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;
;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;
TARIC;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Variación - Año Ant. %
0201--CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA. ;22,81;48,56;217,84;157,03;17,78;;0,06;67,53;0,00;47,81;272,29;195,50;36,86;9,58;9,60;0,21
0202--CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA. ;;10,38;264,16;200,96;158,77;547,91;347,24;592,44;5.394,16;9.576,61;21.452,97;19.099,14;7.392,15;8.149,45;5.098,91;-37,43
0203--CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA. ;29,32;1.477,69;4.098,08;3.516,40;1.352,20;1.744,03;963,31;740,13;6.704,58;14.224,29;22.364,31;13.881,66;23.685,41;28.465,06;58.248,18;104,63
0204--CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA. ;;185,20;56,74;537,73;389,77;762,41;207,89;0,79;0,12;;512,38;414,93;126,83;100,50;13,58;-86,49
0205--CARNE DE ANIMALES DE LAS ESPECIES CABALLAR, ASNAL O MULAR, FRESCA, REFRIGERADA O CONGELADA. ;;;;;;;;1.693,04;208,62;1.123,99;1.592,29;1.308,88;1.089,83;522,16;215,57;-58,72
0206--DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR, FRESCOS, REFRIGERADOS O CONGELADOS. ;204,59;4.307,03;9.343,58;19.991,61;7.432,08;4.691,97;4.975,14;8.169,13;17.904,19;30.759,83;56.524,41;42.425,25;62.393,88;60.389,63;49.370,35;-18,25
0207--CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS. ;1.765,54;8.918,71;21.013,19;22.644,08;18.820,69;14.646,99;9.201,07;7.322,85;15.241,28;21.962,74;24.887,63;37.248,21;60.095,89;64.676,56;46.305,64;-28,40
0208--LAS DEMAS CARNES Y DESPOJOS COMESTIBLES, FRESCOS, REFRIGERADOS O CONGELADOS (EXCEPTO DE AVES DE LA PARTIDA 01.05, DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR). ;0,44;;7,18;154,80;76,52;253,28;68,15;3,21;36,28;78,03;468,78;1.032,44;330,76;338,99;83,95;-75,24
0209--(DESDE 01.01.96) TOCINO SIN PARTES MAGRAS Y GRASA DE CERDO O DE AVE, SIN FUNDIR NI EXTRAER DE OTRO MODO, FRESCOS, REFRIGERADOS, CONGELADOS, SALADOS O EN SALMUERA, SECOS O AHUMADOS. ;;285,52;399,56;105,72;;114,78;12,20;100,27;560,32;620,99;736,20;1.367,01;5.479,15;6.001,15;16.946,91;182,39
"0210--CARNE Y DESPOJOS, COMESTIBLES, SALADOS O EN SALMUERA, SECOS O AHUMADOS; HARINA Y POLVO COMESTIBLES, DE CARNE O DE DESPOJOS. ";53,48;53,10;55,71;83,41;97,32;177,79;139,16;188,65;375,68;429,27;725,44;1.023,67;3.086,89;3.439,94;2.679,33;-22,11
0302--PESCADO FRESCO O REFRIGERADO, CON EXCLUSION DE LOS FILETES Y DEMAS CARNE DE PESCADO DE LA PARTIDA 03.04. ;59,59;26,01;94,59;21,24;18,56;68,47;50,60;117,49;170,32;422,07;268,75;130,57;308,15;79,37;83,52;5,23
0303--PESCADO CONGELADO, CON EXCLUSION DE LOS FILETES Y DEMAS CARNE DE PESCADO DE LA PARTIDA 03.04. ;943,42;4.216,86;2.016,75;11.651,80;17.310,22;57.477,85;74.774,61;91.193,28;115.803,16;134.340,87;159.507,19;145.031,05;46.227,49;29.936,77;20.199,50;-32,53
0304--FILETES Y DEMAS CARNE DE PESCADO (INCLUSO PICADA), FRESCOS, REFRIGERADOS O CONGELADOS. ;3.912,78;5.597,68;7.030,46;11.235,56;15.938,82;23.875,71;36.381,09;33.799,02;34.610,24;36.331,83;36.758,45;40.127,39;45.036,26;40.970,55;41.246,41;0,67
"0305--PESCADO SECO, SALADO O EN SALMUERA; PESCADO AHUMADO, INCLUSO COCIDO ANTES O DURANTE EL AHUMADO; HARINA, POLVO Y ""PELLETS"" DE PESCADO APTOS PARA LA ALIMENTACION HUMANA. ";6,59;9,56;67,02;447,74;732,22;474,90;1.077,06;17,22;487,09;385,79;554,95;1.389,22;1.339,96;3.437,90;3.341,83;-2,79
0701--PATATAS FRESCAS O REFRIGERADAS. ;125,78;164,95;78,61;53,34;81,35;56,32;60,31;162,04;512,74;789,35;1.330,08;1.584,01;1.619,99;1.588,22;569,17;-64,16
0702--TOMATES FRESCOS O REFRIGERADOS. ;;;;;;;;0,07;0,06;;;6,83;;;;0,00
0703--CEBOLLAS, CHALOTES, AJOS, PUERROS Y DEMAS HORTALIZAS ALIACEAS, FRESCOS O REFRIGERADOS. ;;1,52;;;;;572,30;260,92;8,70;23,48;1.318,59;663,33;682,33;530,76;470,64;-11,33
0704--COLES, COLIFLORES, COLES RIZADAS, COLINABOS Y PRODUCTOS COMESTIBLES SIMILARES DEL GENERO BRASSICA, FRESCOS O REFRIGERADOS. ;;;;;;;;;;;12,96;1,48;;0,76;11,09;1.359,21
0705--LECHUGAS (LACTUCA SATIVA) Y ACHICORIAS (COMPRENDIDAS LA ESCAROLA Y LA ENDIBIA) (CICHORIUM SPP.), FRESCAS O REFRIGERADAS. ;0,31;0,03;0,15;;;;;0,35;;;;0,08;;0,18;0,01;-94,44
0706--ZANAHORIAS, NABOS, REMOLACHAS PARA ENSALADA, SALSIFIES, APIONABOS, RABANOS Y RAICES COMESTIBLES SIMILARES, FRESCOS O REFRIGERADOS. ;;;;;;;;0,18;0,01;9,42;;5,04;;0,60;;-100,00
0707--PEPINOS Y PEPINILLOS, FRESCOS O REFRIGERADOS. ;;;;;;;;;;;;;;;;0,00
0708--LEGUMBRES, INCLUSO DESVAINADAS, FRESCAS O REFRIGERADAS. ;;;;;;;13,35;10,29;;;;;;10,03;28,43;183,45
"0803--PLATANOS (BANANAS), INCLUIDOS LOS ""PLANTAINS"" (PLATANOS MACHO), FRESCOS O SECOS. ";;;47,07;19,94;;;0,14;0,44;0,18;3,28;0,59;23,05;53,65;64,08;65,66;2,47
0804--DATILES, HIGOS, PIÑAS (ANANAS), AGUACATES, GUAYABAS, MANGOS Y MANGOSTANES, FRESCOS O SECOS. ;;;;23,57;21,94;11,25;23,32;29,34;25,12;73,65;67,45;101,86;123,99;61,89;65,09;5,17
0805--AGRIOS FRESCOS O SECOS. ;36,96;147,13;16,22;10,64;5,18;5,98;;0,14;302,86;0,07;1,05;30,14;0,99;3,14;0,98;-68,79
0806--UVAS Y PASAS. ;;;;1,84;141,41;6,53;41,63;25,04;21,92;25,70;84,34;49,30;38,56;371,89;227,71;-38,77
0807--MELONES, SANDIAS Y PAPAYAS, FRESCOS. ;;;;;;;;1,63;;0,06;;;;;;0,00
0808--MANZANAS, PERAS Y MEMBRILLOS, FRESCOS. ;;124,83;31,75;2,39;;304,58;533,32;45,73;47,27;871,35;4.443,32;6.738,25;7.496,56;13.575,13;7.393,41;-45,54
0809--ALBARICOQUES, CEREZAS, MELOCOTONES (INCLUIDOS LOS GRIÑONES Y NECTARINAS), CIRUELAS Y ENDRINOS, FRESCOS. ;;;;15,49;1,50;13,36;5,84;4,28;;7,69;;0,88;4,46;1,56;;-100,00
0810--LOS DEMAS FRUTOS FRESCOS. ;41,14;100,54;83,86;40,45;9,36;28,37;1,40;0,59;2,47;192,86;286,31;1.170,81;1.188,39;1.183,94;387,10;-67,30
1101--HARINA DE TRIGO Y DE MORCAJO O TRANQUILLON. ;18,23;28,64;53,13;5,22;26,02;14,03;4,68;29,70;30,06;34,23;35,26;69,04;124,69;206,61;189,36;-8,35
1102--HARINA DE CEREALES, EXCEPTO DE TRIGO O DE MORCAJO O TRANQUILLON. ;3,29;3,57;109,97;603,84;442,28;635,38;65,66;3,51;238,99;269,49;252,67;141,27;199,72;449,18;104,45;-76,75
"1103--GRAÑONES, SEMOLA Y ""PELLETS"", DE CEREALES. ";3,93;1,52;3,00;;;0,48;;1,64;0,85;2,90;6,80;16,78;21,15;38,80;33,59;-13,43
"1104--GRANOS DE CEREALES TRABAJADOS DE OTRA FORMA (POR EJEMPLO, MONDADOS, APLASTADOS, EN COPOS, PERLADOS, TROCEADOS O TRITURADOS), CON EXCEPCION DEL ARROZ DE LA PARTIDA 10.06; GERMEN DE CEREALES ENTERO, APLASTADO, EN COPOS O MOLIDO. ";1,60;0,73;;1,63;3,00;4,11;2,38;15,52;29,07;72,95;104,27;126,32;188,88;146,02;128,30;-12,14
0401--LECHE Y NATA, SIN CONCENTRAR, AZUCARAR NI EDULCORAR DE OTRO MODO. ;68,75;264,82;310,68;511,52;831,58;969,47;1.500,49;1.599,89;1.899,15;2.979,82;5.276,40;6.073,22;7.284,08;9.182,07;9.410,75;2,49
0402--LECHE Y NATA, CONCENTRADAS, AZUCARADAS O EDULCORADAS DE OTRO MODO. ;16.681,47;23.028,32;10.538,06;18.358,13;30.866,69;56.414,11;85.576,44;51.538,06;49.340,48;56.952,26;52.330,09;72.347,03;62.427,82;60.079,54;55.412,15;-7,77
