;Tiempo;;;;;;;;;;;;;;;
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;
;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;
TARIC;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Variación - Año Ant. %
0201--CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA. ;5.947,37;5.322,17;4.081,35;3.876,16;3.390,82;5.960,24;5.135,04;5.807,06;5.146,76;3.404,97;2.903,81;5.896,76;11.932,65;20.989,23;13.678,11;-34,83
0202--CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA. ;514,35;665,08;1.055,33;447,43;376,75;505,10;809,96;1.312,69;956,09;705,50;336,85;126,34;811,82;508,36;496,25;-2,38
0203--CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA. ;77.131,81;;;942,85;1.754,67;18,79;;;302,42;65,53;324,48;819,00;649,85;302,41;277,87;-8,11
0204--CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA. ;;;;;;;;;;;;43,03;;;;0,00
0205--CARNE DE ANIMALES DE LAS ESPECIES CABALLAR, ASNAL O MULAR, FRESCA, REFRIGERADA O CONGELADA. ;13.584,16;22.886,87;38.090,85;27.529,15;26.760,68;26.528,65;28.468,01;17.706,45;13.812,63;18.871,72;17.442,77;9.025,96;6.178,46;6.968,67;5.579,39;-19,94
0206--DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR, FRESCOS, REFRIGERADOS O CONGELADOS. ;958,96;438,47;333,71;176,18;346,33;626,35;763,57;808,28;653,74;733,25;912,07;453,67;440,66;504,03;355,65;-29,44
0207--CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS. ;2.058,89;;5,24;433,47;419,40;362,30;145,14;14,86;183,98;161,62;26,11;116,62;36,96;49,76;157,47;216,46
0208--LAS DEMAS CARNES Y DESPOJOS COMESTIBLES, FRESCOS, REFRIGERADOS O CONGELADOS (EXCEPTO DE AVES DE LA PARTIDA 01.05, DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR). ;75,00;181,04;297,25;33,46;12,20;48,02;194,49;138,40;18,31;232,88;27,59;15,46;24,90;45,55;19,79;-56,55
0209--(DESDE 01.01.96) TOCINO SIN PARTES MAGRAS Y GRASA DE CERDO O DE AVE, SIN FUNDIR NI EXTRAER DE OTRO MODO, FRESCOS, REFRIGERADOS, CONGELADOS, SALADOS O EN SALMUERA, SECOS O AHUMADOS. ;486,43;;0,08;;38,52;;;88,42;;;;10,83;;;;0,00
"0210--CARNE Y DESPOJOS, COMESTIBLES, SALADOS O EN SALMUERA, SECOS O AHUMADOS; HARINA Y POLVO COMESTIBLES, DE CARNE O DE DESPOJOS. ";;;;60,80;;5,47;37,54;20,38;;9,47;13,93;61,15;8,34;;17,44;0,00
0302--PESCADO FRESCO O REFRIGERADO, CON EXCLUSION DE LOS FILETES Y DEMAS CARNE DE PESCADO DE LA PARTIDA 03.04. ;14.371,00;14.355,97;15.022,59;12.668,60;8.257,50;10.706,75;11.756,32;9.296,59;8.887,36;9.162,57;9.436,18;8.192,28;5.048,74;3.369,50;2.071,52;-38,52
0303--PESCADO CONGELADO, CON EXCLUSION DE LOS FILETES Y DEMAS CARNE DE PESCADO DE LA PARTIDA 03.04. ;27.040,17;25.374,96;21.535,78;12.210,67;11.760,01;9.129,18;8.122,73;6.516,66;12.943,83;14.257,30;18.726,95;25.202,99;45.962,26;49.463,64;42.510,58;-14,06
0304--FILETES Y DEMAS CARNE DE PESCADO (INCLUSO PICADA), FRESCOS, REFRIGERADOS O CONGELADOS. ;16.830,51;16.126,94;14.333,79;14.554,29;11.161,73;11.541,81;7.005,77;8.171,40;9.923,70;13.113,89;14.044,83;10.850,24;10.552,81;9.109,50;10.166,00;11,60
"0305--PESCADO SECO, SALADO O EN SALMUERA; PESCADO AHUMADO, INCLUSO COCIDO ANTES O DURANTE EL AHUMADO; HARINA, POLVO Y ""PELLETS"" DE PESCADO APTOS PARA LA ALIMENTACION HUMANA. ";18.447,62;22.136,99;22.501,56;12.570,98;9.947,60;7.203,97;4.510,88;3.244,13;3.767,58;5.070,33;5.414,53;9.041,59;8.196,21;10.756,64;8.283,22;-22,99
0701--PATATAS FRESCAS O REFRIGERADAS. ;40,86;185,43;37,70;;25,98;56,16;;0,03;30,55;0,20;;0,24;62,10;48,78;;-100,00
0702--TOMATES FRESCOS O REFRIGERADOS. ;;;;2,52;;;;;;2,23;;;;;;0,00
0703--CEBOLLAS, CHALOTES, AJOS, PUERROS Y DEMAS HORTALIZAS ALIACEAS, FRESCOS O REFRIGERADOS. ;44,21;287,97;1.183,78;;0,01;0,91;125,29;17,82;;0,67;125,07;0,76;;0,59;113,62;19.157,63
0704--COLES, COLIFLORES, COLES RIZADAS, COLINABOS Y PRODUCTOS COMESTIBLES SIMILARES DEL GENERO BRASSICA, FRESCOS O REFRIGERADOS. ;;16,76;24,21;;;;;0,08;2,85;;;;;;0,06;0,00
0705--LECHUGAS (LACTUCA SATIVA) Y ACHICORIAS (COMPRENDIDAS LA ESCAROLA Y LA ENDIBIA) (CICHORIUM SPP.), FRESCAS O REFRIGERADAS. ;;;;;;0,14;;;;;;;0,06;;;0,00
0706--ZANAHORIAS, NABOS, REMOLACHAS PARA ENSALADA, SALSIFIES, APIONABOS, RABANOS Y RAICES COMESTIBLES SIMILARES, FRESCOS O REFRIGERADOS. ;18,06;13,38;36,99;6,83;0,96;1,81;0,41;13,89;30,59;1,74;23,84;;1,13;0,90;5,67;530,00
0707--PEPINOS Y PEPINILLOS, FRESCOS O REFRIGERADOS. ;;;;;;;;;;;;;;;;0,00
0708--LEGUMBRES, INCLUSO DESVAINADAS, FRESCAS O REFRIGERADAS. ;45,92;520,45;1.000,29;653,28;185,53;42,47;165,25;48,05;0,77;75,51;84,01;15,67;7,21;1,12;1,43;27,68
"0803--PLATANOS (BANANAS), INCLUIDOS LOS ""PLANTAINS"" (PLATANOS MACHO), FRESCOS O SECOS. ";;;;;;;;;3,68;1,05;0,25;;;;0,10;0,00
0804--DATILES, HIGOS, PIÑAS (ANANAS), AGUACATES, GUAYABAS, MANGOS Y MANGOSTANES, FRESCOS O SECOS. ;2,60;2,20;;4,51;;0,20;0,38;0,17;0,56;2,79;1,49;0,09;0,01;70,58;0,05;-99,93
0805--AGRIOS FRESCOS O SECOS. ;;;;0,03;52,10;;0,26;;;;;0,68;;;;0,00
0806--UVAS Y PASAS. ;91,88;33,47;95,23;243,55;197,37;352,05;64,21;104,00;271,97;0,45;54,09;76,70;151,41;35,26;0,10;-99,72
0807--MELONES, SANDIAS Y PAPAYAS, FRESCOS. ;3,58;4,85;7,45;2,94;;;4,02;;;;;;;;;0,00
0808--MANZANAS, PERAS Y MEMBRILLOS, FRESCOS. ;19,14;41,68;28,82;0,36;16,21;;;0,36;16,13;;4,09;0,06;;;;0,00
0809--ALBARICOQUES, CEREZAS, MELOCOTONES (INCLUIDOS LOS GRIÑONES Y NECTARINAS), CIRUELAS Y ENDRINOS, FRESCOS. ;2.980,56;2.977,47;2.186,79;2.488,21;2.196,15;4.072,16;3.984,17;1.270,19;3.080,64;693,87;306,67;3.411,25;2.355,34;1.425,81;849,30;-40,43
0810--LOS DEMAS FRUTOS FRESCOS. ;560,69;345,05;1.934,98;1.139,61;530,01;1.791,17;925,44;1.261,66;1.332,91;830,16;604,18;942,04;888,45;470,61;462,20;-1,79
1101--HARINA DE TRIGO Y DE MORCAJO O TRANQUILLON. ;511,43;791,90;874,24;776,92;846,29;815,71;823,13;701,34;546,50;694,89;922,28;631,64;474,20;588,73;685,59;16,45
1102--HARINA DE CEREALES, EXCEPTO DE TRIGO O DE MORCAJO O TRANQUILLON. ;;7,08;;0,05;0,04;106,10;33,92;47,54;22,73;31,10;13,96;10,95;7,70;107,34;105,12;-2,07
"1103--GRAÑONES, SEMOLA Y ""PELLETS"", DE CEREALES. ";1,01;2,15;68,64;26,24;34,80;25,91;57,95;27,56;18,64;0,01;31,41;18,56;9,31;4,79;1,57;-67,22
"1104--GRANOS DE CEREALES TRABAJADOS DE OTRA FORMA (POR EJEMPLO, MONDADOS, APLASTADOS, EN COPOS, PERLADOS, TROCEADOS O TRITURADOS), CON EXCEPCION DEL ARROZ DE LA PARTIDA 10.06; GERMEN DE CEREALES ENTERO, APLASTADO, EN COPOS O MOLIDO. ";397,71;1.058,60;1.327,89;184,72;288,38;434,70;268,38;83,81;392,67;403,05;577,53;440,26;205,73;485,23;57,70;-88,11
0401--LECHE Y NATA, SIN CONCENTRAR, AZUCARAR NI EDULCORAR DE OTRO MODO. ;;;0,17;;1,24;;;;;;0,12;0,02;0,15;0,00;0,09;0,00
0402--LECHE Y NATA, CONCENTRADAS, AZUCARADAS O EDULCORADAS DE OTRO MODO. ;6.421,89;3.112,03;1.672,85;450,59;28,20;0,30;;0,39;6,20;0,20;1,39;79,95;104,21;2,23;1,89;-15,25
