;Tiempo;;;;;;;;;;;;;;;
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;
;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;
TARIC;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Variación - Año Ant. %
0201--CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA. ;;;;;;;;0,01;;;;;;;;0,00
0202--CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA. ;;;;;;;;;;;;;;1,70;;-100,00
0203--CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA. ;609,00;450,19;8,75;406,62;113,02;847,91;833,04;437,75;429,47;515,81;584,85;134,91;194,30;210,73;616,89;192,74
0204--CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA. ;;;;;;;;;;;;;;;;0,00
0205--CARNE DE ANIMALES DE LAS ESPECIES CABALLAR, ASNAL O MULAR, FRESCA, REFRIGERADA O CONGELADA. ;;;;;;;;;;;;;;;;0,00
0206--DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR, FRESCOS, REFRIGERADOS O CONGELADOS. ;;;;;;249,09;;102,15;25,73;;;47,13;;100,99;;-100,00
0207--CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS. ;30,96;;;;11,95;11,36;;;32,48;161,80;;;27,24;5,96;;-100,00
0208--LAS DEMAS CARNES Y DESPOJOS COMESTIBLES, FRESCOS, REFRIGERADOS O CONGELADOS (EXCEPTO DE AVES DE LA PARTIDA 01.05, DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR). ;;;;;;;8,78;;;;;;;;;0,00
0209--(DESDE 01.01.96) TOCINO SIN PARTES MAGRAS Y GRASA DE CERDO O DE AVE, SIN FUNDIR NI EXTRAER DE OTRO MODO, FRESCOS, REFRIGERADOS, CONGELADOS, SALADOS O EN SALMUERA, SECOS O AHUMADOS. ;;;;;;161,34;;;;;14,94;;;;63,70;0,00
"0210--CARNE Y DESPOJOS, COMESTIBLES, SALADOS O EN SALMUERA, SECOS O AHUMADOS; HARINA Y POLVO COMESTIBLES, DE CARNE O DE DESPOJOS. ";;;12,73;4,39;;16,99;3,45;;5,26;6,57;;;4,49;7,75;;-100,00
0302--PESCADO FRESCO O REFRIGERADO, CON EXCLUSION DE LOS FILETES Y DEMAS CARNE DE PESCADO DE LA PARTIDA 03.04. ;;2,60;7,82;6,16;10,39;65,05;;;;11,51;;;;0,02;0,03;50,00
0303--PESCADO CONGELADO, CON EXCLUSION DE LOS FILETES Y DEMAS CARNE DE PESCADO DE LA PARTIDA 03.04. ;26.251,72;40.288,55;28.496,69;36.040,50;44.102,69;39.277,43;43.482,19;17.731,82;27.666,39;24.030,57;26.896,04;40.703,99;28.255,00;15.040,88;31.570,01;109,89
0304--FILETES Y DEMAS CARNE DE PESCADO (INCLUSO PICADA), FRESCOS, REFRIGERADOS O CONGELADOS. ;662,54;5.526,44;13.470,32;16.438,68;9.371,63;7.157,75;12.749,45;15.785,79;28.338,68;53.633,06;66.022,97;72.996,93;71.671,81;70.815,67;58.430,29;-17,49
"0305--PESCADO SECO, SALADO O EN SALMUERA; PESCADO AHUMADO, INCLUSO COCIDO ANTES O DURANTE EL AHUMADO; HARINA, POLVO Y ""PELLETS"" DE PESCADO APTOS PARA LA ALIMENTACION HUMANA. ";270,77;75,17;221,68;96,87;79,39;295,62;172,02;146,49;227,69;232,14;237,39;219,60;118,81;158,83;66,52;-58,12
0701--PATATAS FRESCAS O REFRIGERADAS. ;0,86;2,40;1,38;;;;;0,02;;;4,04;;;0,79;0,08;-89,87
0702--TOMATES FRESCOS O REFRIGERADOS. ;;;;;;;;;;;;;;0,52;;-100,00
0703--CEBOLLAS, CHALOTES, AJOS, PUERROS Y DEMAS HORTALIZAS ALIACEAS, FRESCOS O REFRIGERADOS. ;1,13;;;;0,37;;2,32;5,93;2,04;3,19;16,37;19,20;10,13;30,55;15,66;-48,74
0704--COLES, COLIFLORES, COLES RIZADAS, COLINABOS Y PRODUCTOS COMESTIBLES SIMILARES DEL GENERO BRASSICA, FRESCOS O REFRIGERADOS. ;1,81;;;;6,19;;0,00;;0,34;3,05;0,03;;;0,78;13,53;1.634,62
0705--LECHUGAS (LACTUCA SATIVA) Y ACHICORIAS (COMPRENDIDAS LA ESCAROLA Y LA ENDIBIA) (CICHORIUM SPP.), FRESCAS O REFRIGERADAS. ;;;;;;;;;;;;;;;;0,00
0706--ZANAHORIAS, NABOS, REMOLACHAS PARA ENSALADA, SALSIFIES, APIONABOS, RABANOS Y RAICES COMESTIBLES SIMILARES, FRESCOS O REFRIGERADOS. ;0,84;;1,25;0,55;16,66;11,87;23,77;35,79;45,33;28,42;25,61;17,49;26,30;34,53;34,32;-0,61
0707--PEPINOS Y PEPINILLOS, FRESCOS O REFRIGERADOS. ;;;;;;;;;;;0,86;;;;;0,00
0708--LEGUMBRES, INCLUSO DESVAINADAS, FRESCAS O REFRIGERADAS. ;0,00;;0,00;0,22;;0,44;;;;;;2,70;;;;0,00
"0803--PLATANOS (BANANAS), INCLUIDOS LOS ""PLANTAINS"" (PLATANOS MACHO), FRESCOS O SECOS. ";;;;;;;;;;;;;;0,04;;-100,00
0804--DATILES, HIGOS, PIÑAS (ANANAS), AGUACATES, GUAYABAS, MANGOS Y MANGOSTANES, FRESCOS O SECOS. ;;1,04;1,60;1,36;;9,60;0,02;0,05;;;0,19;0,85;;0,50;0,40;-20,00
0805--AGRIOS FRESCOS O SECOS. ;;;;;;;0,10;;;12,52;1,37;0,10;;6,41;6,37;-0,62
0806--UVAS Y PASAS. ;;0,59;;;;;;0,93;;0,13;0,00;2,54;2,30;0,16;0,05;-68,75
0807--MELONES, SANDIAS Y PAPAYAS, FRESCOS. ;;;;;0,07;;;;;;;3,04;;;1,75;0,00
0808--MANZANAS, PERAS Y MEMBRILLOS, FRESCOS. ;157,04;102,10;105,99;102,99;232,19;182,19;43,46;73,72;163,28;152,65;162,93;210,64;140,28;184,75;142,74;-22,74
0809--ALBARICOQUES, CEREZAS, MELOCOTONES (INCLUIDOS LOS GRIÑONES Y NECTARINAS), CIRUELAS Y ENDRINOS, FRESCOS. ;;;;0,07;;;;;;;;;;0,21;;-100,00
0810--LOS DEMAS FRUTOS FRESCOS. ;5,26;;;15,07;4,75;35,53;2,08;1,08;7,40;;0,12;;0,04;0,44;;-100,00
1101--HARINA DE TRIGO Y DE MORCAJO O TRANQUILLON. ;17,42;13,82;9,00;9,40;25,54;42,67;85,40;74,89;105,01;153,45;239,07;222,46;223,63;249,15;79,13;-68,24
1102--HARINA DE CEREALES, EXCEPTO DE TRIGO O DE MORCAJO O TRANQUILLON. ;15,66;7,76;3,10;9,46;15,92;21,40;21,41;12,00;21,07;3,36;23,98;65,27;110,20;3,55;8,85;149,30
"1103--GRAÑONES, SEMOLA Y ""PELLETS"", DE CEREALES. ";2,55;;0,55;2,51;10,14;36,81;149,79;104,30;140,94;78,11;7,40;42,14;21,15;21,80;42,93;96,93
"1104--GRANOS DE CEREALES TRABAJADOS DE OTRA FORMA (POR EJEMPLO, MONDADOS, APLASTADOS, EN COPOS, PERLADOS, TROCEADOS O TRITURADOS), CON EXCEPCION DEL ARROZ DE LA PARTIDA 10.06; GERMEN DE CEREALES ENTERO, APLASTADO, EN COPOS O MOLIDO. ";0,87;2,83;1,02;19,82;49,09;29,62;7,14;45,73;39,33;66,19;49,85;57,56;66,72;46,81;37,77;-19,31
0401--LECHE Y NATA, SIN CONCENTRAR, AZUCARAR NI EDULCORAR DE OTRO MODO. ;;;;;;;0,31;0,40;1,82;58,35;48,24;39,44;542,09;119,40;109,46;-8,32
0402--LECHE Y NATA, CONCENTRADAS, AZUCARADAS O EDULCORADAS DE OTRO MODO. ;;0,17;;0,74;;;0,16;66,06;;0,06;;;88,31;;0,08;0,00
0403--SUERO DE MANTEQUILLA, LECHE Y NATA CUAJADAS, YOGUR, KEFIR Y DEMAS LECHES Y NATAS, FERMENTADAS O ACIDIFICADAS, INCLUSO CONCENTRADOS, AZUCARADOS, EDULCORADOS DE OTRO MODO O AROMATIZADOS, O CON FRUTA O CACAO. ;;;;;;;;11,75;5,05;1,56;0,03;44,99;;0,01;0,17;1.600,00
"0404--LACTOSUERO, INCLUSO CONCENTRADO, AZUCARADO O EDULCORADO DE OTRO MODO; PRODUCTOS CONSTITUIDOS POR LOS COMPONENTES NATURALES DE LA LECHE, INCLUSO AZUCARADOS O EDULCORADOS DE OTRO MODO, NO EXPRESADOS NI COMPRENDIDOS EN OTRAS PARTIDAS. ";;90,77;69,75;;;12,57;61,57;;;48,00;1,52;207,10;;;231,00;0,00
"0405--(DESDE 01.01.96) MANTEQUILLA (MANTECA) Y DEMAS MATERIAS GRASAS DE LA LECHE; PASTAS LACTEAS PARA UNTAR. ";;;;;;;;;;;0,08;;;;;0,00
0406--QUESOS Y REQUESON. ;;;;25,48;;0,38;;7,82;0,03;4,72;;79,69;;50,47;104,14;106,34
0407--HUEVOS DE AVE CON CASCARON, FRESCOS, CONSERVADOS O COCIDOS. ;;;;;;;;;;;;301,42;;;;0,00
