;Tiempo;;;;;;;;;;;;;;;
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;
;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;
TARIC;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Variación - Año Ant. %
0201--CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA. ;;;;;;;;4,62;2.888,99;5.195,27;6.967,67;7.992,95;9.023,33;13.047,26;10.128,19;-22,37
0202--CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA. ;;;;;;;;18,56;;8,25;32,32;96,84;49,06;44,52;185,45;316,55
0203--CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA. ;145,87;200,94;281,00;5.081,19;122,41;242,02;375,78;2.728,62;4.173,29;417,55;646,00;172,74;269,28;516,26;321,21;-37,78
0204--CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA. ;;;;;;;;;;;;;;;;0,00
0205--CARNE DE ANIMALES DE LAS ESPECIES CABALLAR, ASNAL O MULAR, FRESCA, REFRIGERADA O CONGELADA. ;;;;;;;;;;;;;;;;0,00
0206--DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR, FRESCOS, REFRIGERADOS O CONGELADOS. ;1,44;18,90;0,33;89,09;;;;;44,06;;187,97;237,64;227,51;;;0,00
0207--CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS. ;251,76;;;174,25;46,72;;60,26;;6,51;16,18;109,04;513,03;139,32;;172,86;0,00
0208--LAS DEMAS CARNES Y DESPOJOS COMESTIBLES, FRESCOS, REFRIGERADOS O CONGELADOS (EXCEPTO DE AVES DE LA PARTIDA 01.05, DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR). ;;10,01;;7,04;11,43;;;;;;;;;;;0,00
0209--(DESDE 01.01.96) TOCINO SIN PARTES MAGRAS Y GRASA DE CERDO O DE AVE, SIN FUNDIR NI EXTRAER DE OTRO MODO, FRESCOS, REFRIGERADOS, CONGELADOS, SALADOS O EN SALMUERA, SECOS O AHUMADOS. ;;;;;;;;;;0,33;0,39;;;;;0,00
"0210--CARNE Y DESPOJOS, COMESTIBLES, SALADOS O EN SALMUERA, SECOS O AHUMADOS; HARINA Y POLVO COMESTIBLES, DE CARNE O DE DESPOJOS. ";0,00;2,09;48,24;;51,23;1,91;179,52;;10,61;203,70;;41,36;0,28;50,59;7,07;-86,02
0302--PESCADO FRESCO O REFRIGERADO, CON EXCLUSION DE LOS FILETES Y DEMAS CARNE DE PESCADO DE LA PARTIDA 03.04. ;10,76;68,75;136,98;95,70;91,85;46,85;137,44;1.563,95;1.561,13;1.200,98;1.093,11;968,70;912,07;1.001,67;524,85;-47,60
0303--PESCADO CONGELADO, CON EXCLUSION DE LOS FILETES Y DEMAS CARNE DE PESCADO DE LA PARTIDA 03.04. ;2.833,75;2.767,05;1.161,10;1.643,80;1.113,43;1.810,18;1.431,06;931,45;1.529,84;1.835,74;2.675,18;3.332,53;2.844,68;2.795,66;4.277,75;53,01
0304--FILETES Y DEMAS CARNE DE PESCADO (INCLUSO PICADA), FRESCOS, REFRIGERADOS O CONGELADOS. ;1.750,68;371,12;880,82;334,40;235,61;832,72;1.535,57;1.694,14;1.360,34;2.965,93;2.206,11;3.139,86;3.041,80;7.175,90;6.288,34;-12,37
"0305--PESCADO SECO, SALADO O EN SALMUERA; PESCADO AHUMADO, INCLUSO COCIDO ANTES O DURANTE EL AHUMADO; HARINA, POLVO Y ""PELLETS"" DE PESCADO APTOS PARA LA ALIMENTACION HUMANA. ";17,36;11,68;12,03;23,97;14,80;7,91;0,06;0,00;0,01;34,05;36,54;11,75;0,35;4,54;97,05;2.037,67
0701--PATATAS FRESCAS O REFRIGERADAS. ;;0,31;;0,01;;;;;0,18;0,11;;0,03;;;;0,00
0702--TOMATES FRESCOS O REFRIGERADOS. ;;0,24;;0,64;;0,06;;0,07;10,20;0,81;1,58;1,81;1,56;4,83;3,81;-21,12
0703--CEBOLLAS, CHALOTES, AJOS, PUERROS Y DEMAS HORTALIZAS ALIACEAS, FRESCOS O REFRIGERADOS. ;;0,80;1,64;0,43;0,66;3,35;0,02;;0,30;6,79;46,79;123,47;19,36;16,35;45,43;177,86
0704--COLES, COLIFLORES, COLES RIZADAS, COLINABOS Y PRODUCTOS COMESTIBLES SIMILARES DEL GENERO BRASSICA, FRESCOS O REFRIGERADOS. ;1,20;3,17;2,07;4,35;4,05;1,62;0,00;0,39;1,37;0,62;0,41;0,27;0,99;1,37;13,35;874,45
0705--LECHUGAS (LACTUCA SATIVA) Y ACHICORIAS (COMPRENDIDAS LA ESCAROLA Y LA ENDIBIA) (CICHORIUM SPP.), FRESCAS O REFRIGERADAS. ;0,22;;;;;;;;0,09;0,79;1,21;0,12;0,29;0,08;;-100,00
0706--ZANAHORIAS, NABOS, REMOLACHAS PARA ENSALADA, SALSIFIES, APIONABOS, RABANOS Y RAICES COMESTIBLES SIMILARES, FRESCOS O REFRIGERADOS. ;8,48;6,75;32,41;34,20;65,70;35,50;65,12;45,79;48,54;66,58;66,50;108,47;146,03;154,89;106,86;-31,01
0707--PEPINOS Y PEPINILLOS, FRESCOS O REFRIGERADOS. ;0,10;0,06;0,11;0,52;0,06;;;0,08;0,33;1,84;0,68;0,87;0,64;4,57;3,38;-26,04
0708--LEGUMBRES, INCLUSO DESVAINADAS, FRESCAS O REFRIGERADAS. ;0,85;1,27;5,41;22,67;20,31;2,59;0,83;9,35;7,68;0,24;11,41;6,64;7,15;3,73;3,72;-0,27
"0803--PLATANOS (BANANAS), INCLUIDOS LOS ""PLANTAINS"" (PLATANOS MACHO), FRESCOS O SECOS. ";;;0,03;;;;;;;;;;;;;0,00
0804--DATILES, HIGOS, PIÑAS (ANANAS), AGUACATES, GUAYABAS, MANGOS Y MANGOSTANES, FRESCOS O SECOS. ;1,06;0,04;;;3,19;6,32;1,92;;;1,84;0,17;57,22;;0,03;0,05;66,67
0805--AGRIOS FRESCOS O SECOS. ;;0,46;11,14;6,00;4,97;0,11;47,17;70,87;48,57;81,91;112,70;168,66;117,88;157,16;108,62;-30,89
0806--UVAS Y PASAS. ;;0,57;1,70;0,60;1,60;;1,41;;0,17;0,58;1,14;3,34;3,81;0,28;7,13;2.446,43
0807--MELONES, SANDIAS Y PAPAYAS, FRESCOS. ;10,97;2,78;21,60;0,37;4,29;5,23;0,13;;2,36;5,32;3,67;3,19;3,96;5,51;9,04;64,07
0808--MANZANAS, PERAS Y MEMBRILLOS, FRESCOS. ;50,95;56,68;37,62;2,82;;;0,15;0,15;2,28;1,24;5,33;0,46;2,04;;2,41;0,00
0809--ALBARICOQUES, CEREZAS, MELOCOTONES (INCLUIDOS LOS GRIÑONES Y NECTARINAS), CIRUELAS Y ENDRINOS, FRESCOS. ;;;;;;;;0,65;0,04;6,80;;0,65;3,13;1,40;;-100,00
0810--LOS DEMAS FRUTOS FRESCOS. ;0,44;0,29;7,77;1,55;0,57;;;0,10;2,62;12,36;1,83;1,81;6,75;8,46;4,53;-46,45
1101--HARINA DE TRIGO Y DE MORCAJO O TRANQUILLON. ;255,37;309,43;315,94;410,54;622,45;433,83;392,97;401,74;500,12;551,50;745,46;690,85;746,26;957,88;565,44;-40,97
1102--HARINA DE CEREALES, EXCEPTO DE TRIGO O DE MORCAJO O TRANQUILLON. ;22,61;22,51;45,05;36,75;73,42;42,32;38,84;30,40;31,85;52,96;77,48;81,01;129,08;156,32;121,27;-22,42
"1103--GRAÑONES, SEMOLA Y ""PELLETS"", DE CEREALES. ";0,85;15,66;4,96;36,61;2,68;2,05;;0,00;;0,68;1,80;2,39;0,28;0,11;1,74;1.481,82
"1104--GRANOS DE CEREALES TRABAJADOS DE OTRA FORMA (POR EJEMPLO, MONDADOS, APLASTADOS, EN COPOS, PERLADOS, TROCEADOS O TRITURADOS), CON EXCEPCION DEL ARROZ DE LA PARTIDA 10.06; GERMEN DE CEREALES ENTERO, APLASTADO, EN COPOS O MOLIDO. ";32,80;22,36;9,41;18,65;19,84;17,52;17,79;15,25;26,19;11,86;18,61;27,31;26,20;35,72;23,83;-33,29
0401--LECHE Y NATA, SIN CONCENTRAR, AZUCARAR NI EDULCORAR DE OTRO MODO. ;;;;568,33;6,34;0,20;;6,33;2,92;;975,06;0,01;;4,79;;-100,00
0402--LECHE Y NATA, CONCENTRADAS, AZUCARADAS O EDULCORADAS DE OTRO MODO. ;6,62;3,24;;0,37;0,08;0,00;0,01;19,35;0,00;0,71;3,69;0,00;0,00;63,31;71,87;13,52
0403--SUERO DE MANTEQUILLA, LECHE Y NATA CUAJADAS, YOGUR, KEFIR Y DEMAS LECHES Y NATAS, FERMENTADAS O ACIDIFICADAS, INCLUSO CONCENTRADOS, AZUCARADOS, EDULCORADOS DE OTRO MODO O AROMATIZADOS, O CON FRUTA O CACAO. ;44,99;37,64;39,85;35,13;26,16;0,80;0,37;0,03;;;0,62;;0,00;0,18;;-100,00
