;Tiempo;;;;;;;;;;;;;;;
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;
;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;Measures;
TARIC;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Valor, Miles;Variación - Año Ant. %
0201--CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA. ;;;;;;;;;;;;;;;;0,00
0202--CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA. ;;;;;;;;;;;;;;105,84;;-100,00
0203--CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA. ;;;;;;;;;;;;79,11;;0,00;18,75;0,00
0204--CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA. ;;15,36;;;;;;;;;;;;;;0,00
0205--CARNE DE ANIMALES DE LAS ESPECIES CABALLAR, ASNAL O MULAR, FRESCA, REFRIGERADA O CONGELADA. ;;;;;;;;;;;;;;;;0,00
0206--DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR, FRESCOS, REFRIGERADOS O CONGELADOS. ;;;;;;;;;;;42,41;24,57;41,48;122,22;33,77;-72,37
0207--CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS. ;;25,08;3,95;;205,64;16,09;;;;;;9,35;28,05;0,22;;-100,00
0208--LAS DEMAS CARNES Y DESPOJOS COMESTIBLES, FRESCOS, REFRIGERADOS O CONGELADOS (EXCEPTO DE AVES DE LA PARTIDA 01.05, DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR). ;1.469,53;1.772,10;1.231,64;1.781,62;2.656,14;1.951,54;1.991,38;2.691,97;2.435,33;5.018,75;4.512,97;4.607,99;4.657,19;9.018,22;5.238,43;-41,91
0209--(DESDE 01.01.96) TOCINO SIN PARTES MAGRAS Y GRASA DE CERDO O DE AVE, SIN FUNDIR NI EXTRAER DE OTRO MODO, FRESCOS, REFRIGERADOS, CONGELADOS, SALADOS O EN SALMUERA, SECOS O AHUMADOS. ;;;;;;;;;;;;;;;;0,00
"0210--CARNE Y DESPOJOS, COMESTIBLES, SALADOS O EN SALMUERA, SECOS O AHUMADOS; HARINA Y POLVO COMESTIBLES, DE CARNE O DE DESPOJOS. ";;;;0,31;;;;0,00;;;;0,01;;;;0,00
0302--PESCADO FRESCO O REFRIGERADO, CON EXCLUSION DE LOS FILETES Y DEMAS CARNE DE PESCADO DE LA PARTIDA 03.04. ;17,38;76,69;103,28;13,04;83,34;15,82;15,12;0,03;;15,22;0,01;;;;;0,00
0303--PESCADO CONGELADO, CON EXCLUSION DE LOS FILETES Y DEMAS CARNE DE PESCADO DE LA PARTIDA 03.04. ;19.858,57;21.419,29;27.070,28;20.574,37;20.268,57;29.945,78;38.461,35;41.037,87;31.871,46;35.237,80;42.107,46;45.375,94;33.861,14;36.384,34;31.278,84;-14,03
0304--FILETES Y DEMAS CARNE DE PESCADO (INCLUSO PICADA), FRESCOS, REFRIGERADOS O CONGELADOS. ;286.574,32;385.091,49;449.771,27;440.961,16;440.072,34;422.322,27;377.150,53;305.806,68;289.464,48;301.116,56;272.370,95;213.767,27;221.215,39;236.418,48;171.127,62;-27,62
"0305--PESCADO SECO, SALADO O EN SALMUERA; PESCADO AHUMADO, INCLUSO COCIDO ANTES O DURANTE EL AHUMADO; HARINA, POLVO Y ""PELLETS"" DE PESCADO APTOS PARA LA ALIMENTACION HUMANA. ";160,00;467,79;721,70;491,21;892,02;485,36;177,56;269,09;118,99;112,26;1.151,56;2.655,10;5.501,51;6.007,78;7.107,87;18,31
0701--PATATAS FRESCAS O REFRIGERADAS. ;;;;0,16;;2,60;;;;0,05;;;;6,82;;-100,00
0702--TOMATES FRESCOS O REFRIGERADOS. ;;;;;;;;0,06;;0,02;0,00;0,01;;;;0,00
0703--CEBOLLAS, CHALOTES, AJOS, PUERROS Y DEMAS HORTALIZAS ALIACEAS, FRESCOS O REFRIGERADOS. ;11,65;31,14;109,54;23,54;23,80;72,40;65,78;41,43;23,06;114,46;17,28;37,00;45,45;30,95;9,35;-69,79
0704--COLES, COLIFLORES, COLES RIZADAS, COLINABOS Y PRODUCTOS COMESTIBLES SIMILARES DEL GENERO BRASSICA, FRESCOS O REFRIGERADOS. ;0,95;0,69;;0,76;;4,06;5,14;2,25;0,60;0,00;1,01;0,03;38,95;0,05;0,29;480,00
0705--LECHUGAS (LACTUCA SATIVA) Y ACHICORIAS (COMPRENDIDAS LA ESCAROLA Y LA ENDIBIA) (CICHORIUM SPP.), FRESCAS O REFRIGERADAS. ;;;;;;;;;;;0,00;0,01;;0,01;0,01;0,00
0706--ZANAHORIAS, NABOS, REMOLACHAS PARA ENSALADA, SALSIFIES, APIONABOS, RABANOS Y RAICES COMESTIBLES SIMILARES, FRESCOS O REFRIGERADOS. ;1,76;1,33;0,05;2,11;0,01;9,24;0,59;11,31;1,28;33,04;31,37;55,77;116,55;3,99;17,67;342,86
0707--PEPINOS Y PEPINILLOS, FRESCOS O REFRIGERADOS. ;;;0,01;;;;0,00;;;;0,04;0,10;;;;0,00
0708--LEGUMBRES, INCLUSO DESVAINADAS, FRESCAS O REFRIGERADAS. ;2,17;0,24;1,02;0,97;9,27;56,74;53,26;7,60;5,41;14,89;36,24;25,41;22,20;22,38;15,53;-30,61
"0803--PLATANOS (BANANAS), INCLUIDOS LOS ""PLANTAINS"" (PLATANOS MACHO), FRESCOS O SECOS. ";171,71;96,96;140,43;138,18;69,31;102,63;106,46;38,87;47,21;51,66;33,90;54,62;52,97;57,53;45,52;-20,88
0804--DATILES, HIGOS, PIÑAS (ANANAS), AGUACATES, GUAYABAS, MANGOS Y MANGOSTANES, FRESCOS O SECOS. ;249,10;301,08;258,47;271,29;378,21;476,04;361,47;313,52;309,75;436,43;468,95;626,00;747,43;878,86;541,91;-38,34
0805--AGRIOS FRESCOS O SECOS. ;76,12;203,09;436,49;596,15;1.387,08;2.282,00;1.674,83;1.556,41;2.520,23;2.725,75;4.339,20;6.481,99;9.172,76;8.884,18;6.842,66;-22,98
0806--UVAS Y PASAS. ;;;;;;;;1,08;;;;0,00;;0,00;1,79;0,00
0807--MELONES, SANDIAS Y PAPAYAS, FRESCOS. ;1,47;5,06;17,48;17,93;26,61;67,16;120,83;135,49;83,98;259,35;146,00;48,61;122,08;179,05;126,02;-29,62
0808--MANZANAS, PERAS Y MEMBRILLOS, FRESCOS. ;;0,01;0,02;;;;0,00;0,00;;;;;0,13;;;0,00
0809--ALBARICOQUES, CEREZAS, MELOCOTONES (INCLUIDOS LOS GRIÑONES Y NECTARINAS), CIRUELAS Y ENDRINOS, FRESCOS. ;1,03;0,54;0,48;2,25;2,49;0,03;0,29;;;0,15;0,30;;;;;0,00
0810--LOS DEMAS FRUTOS FRESCOS. ;2.903,69;3.270,40;4.570,51;4.474,36;7.085,86;7.695,81;8.891,65;10.344,11;12.597,55;14.248,36;16.954,04;19.199,88;21.297,02;27.711,15;28.047,87;1,22
1101--HARINA DE TRIGO Y DE MORCAJO O TRANQUILLON. ;;7,15;39,99;24,62;38,23;60,59;160,88;228,65;133,42;135,68;324,98;368,67;333,68;649,47;667,64;2,80
1102--HARINA DE CEREALES, EXCEPTO DE TRIGO O DE MORCAJO O TRANQUILLON. ;42,90;63,58;93,56;104,13;154,77;202,56;281,79;215,40;231,61;283,27;212,62;195,86;278,34;359,89;383,39;6,53
"1103--GRAÑONES, SEMOLA Y ""PELLETS"", DE CEREALES. ";0,12;0,65;2,26;3,05;4,49;4,19;8,35;9,08;11,21;5,14;8,66;11,25;10,88;6,68;20,91;213,02
"1104--GRANOS DE CEREALES TRABAJADOS DE OTRA FORMA (POR EJEMPLO, MONDADOS, APLASTADOS, EN COPOS, PERLADOS, TROCEADOS O TRITURADOS), CON EXCEPCION DEL ARROZ DE LA PARTIDA 10.06; GERMEN DE CEREALES ENTERO, APLASTADO, EN COPOS O MOLIDO. ";2,95;4,16;15,65;15,67;22,66;10,51;32,61;20,22;20,54;17,05;15,92;26,40;5,80;9,38;9,43;0,53
0401--LECHE Y NATA, SIN CONCENTRAR, AZUCARAR NI EDULCORAR DE OTRO MODO. ;;;;;;;;0,00;0,06;0,07;;0,02;0,14;0,21;;-100,00
0402--LECHE Y NATA, CONCENTRADAS, AZUCARADAS O EDULCORADAS DE OTRO MODO. ;1,82;0,39;3,06;4,01;3,40;5,81;7,88;7,02;3,43;88,81;2,13;182,58;0,72;2,20;2,04;-7,27
0403--SUERO DE MANTEQUILLA, LECHE Y NATA CUAJADAS, YOGUR, KEFIR Y DEMAS LECHES Y NATAS, FERMENTADAS O ACIDIFICADAS, INCLUSO CONCENTRADOS, AZUCARADOS, EDULCORADOS DE OTRO MODO O AROMATIZADOS, O CON FRUTA O CACAO. ;;;;0,43;0,09;;;0,01;;0,01;;;;;;0,00
"0404--LACTOSUERO, INCLUSO CONCENTRADO, AZUCARADO O EDULCORADO DE OTRO MODO; PRODUCTOS CONSTITUIDOS POR LOS COMPONENTES NATURALES DE LA LECHE, INCLUSO AZUCARADOS O EDULCORADOS DE OTRO MODO, NO EXPRESADOS NI COMPRENDIDOS EN OTRAS PARTIDAS. ";;;;;;30,37;;;;;0,07;0,08;;;28,52;0,00
